Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734586464,2024-12-19T06:34:24Z,ITY1642,"40.6791,17.9219",198,140,317
1734586480,2024-12-19T06:34:40Z,ITY1642,"40.6864,17.9128",358,144,317
1734586496,2024-12-19T06:34:56Z,ITY1642,"40.6943,17.9030",488,156,317
1734586512,2024-12-19T06:35:12Z,ITY1642,"40.7035,17.8915",587,176,316
1734586537,2024-12-19T06:35:37Z,ITY1642,"40.7193,17.8711",770,209,315
1734586934,2024-12-19T06:42:14Z,ITY1642,"41.0618,17.2611",6645,374,305
1734586964,2024-12-19T06:42:44Z,ITY1642,"41.0903,17.2068",6965,381,305
1734586996,2024-12-19T06:43:16Z,ITY1642,"41.1235,17.1434",7323,388,305
1734587026,2024-12-19T06:43:46Z,ITY1642,"41.1543,17.0843",7628,394,305
1734587056,2024-12-19T06:44:16Z,ITY1642,"41.1854,17.0246",7971,395,305
1734587087,2024-12-19T06:44:47Z,ITY1642,"41.2171,16.9636",8268,399,305
1734587117,2024-12-19T06:45:17Z,ITY1642,"41.2487,16.9028",8550,403,305
1734587147,2024-12-19T06:45:47Z,ITY1642,"41.2805,16.8416",8931,398,304
1734587177,2024-12-19T06:46:17Z,ITY1642,"41.3111,16.7825",9281,394,305
1734587208,2024-12-19T06:46:48Z,ITY1642,"41.3425,16.7216",9662,386,304
1734587238,2024-12-19T06:47:18Z,ITY1642,"41.3727,16.6633",9929,386,304
1734587268,2024-12-19T06:47:48Z,ITY1642,"41.4034,16.6034",10081,396,304
1734587300,2024-12-19T06:48:20Z,ITY1642,"41.4369,16.5381",10203,408,304
1734587330,2024-12-19T06:48:50Z,ITY1642,"41.4697,16.4739",10356,406,304
1734587360,2024-12-19T06:49:20Z,ITY1642,"41.5005,16.4138",10363,405,304
1734587393,2024-12-19T06:49:53Z,ITY1642,"41.5364,16.3435",10363,410,304
1734587424,2024-12-19T06:50:24Z,ITY1642,"41.5696,16.2782",10363,411,304
1734587455,2024-12-19T06:50:55Z,ITY1642,"41.6028,16.2128",10363,411,304
1734587485,2024-12-19T06:51:25Z,ITY1642,"41.6339,16.1515",10363,412,304
1734587515,2024-12-19T06:51:55Z,ITY1642,"41.6662,16.0874",10363,412,304
1734587545,2024-12-19T06:52:25Z,ITY1642,"41.6980,16.0247",10363,411,304
1734587575,2024-12-19T06:52:55Z,ITY1642,"41.7298,15.9617",10363,412,304
1734587605,2024-12-19T06:53:25Z,ITY1642,"41.7626,15.8965",10363,413,304
1734587635,2024-12-19T06:53:55Z,ITY1642,"41.7939,15.8339",10363,412,304
1734587665,2024-12-19T06:54:25Z,ITY1642,"41.8261,15.7695",10371,412,304
1734587696,2024-12-19T06:54:56Z,ITY1642,"41.8574,15.7068",10371,410,304
1734587726,2024-12-19T06:55:26Z,ITY1642,"41.8895,15.6425",10363,410,304
1734587757,2024-12-19T06:55:57Z,ITY1642,"41.9231,15.5749",10363,410,304
1734587787,2024-12-19T06:56:27Z,ITY1642,"41.9547,15.5110",10363,409,304
1734587817,2024-12-19T06:56:57Z,ITY1642,"41.9849,15.4501",10356,410,304
1734587847,2024-12-19T06:57:27Z,ITY1642,"42.0163,15.3864",10356,410,304
1734587877,2024-12-19T06:57:57Z,ITY1642,"42.0479,15.3225",10363,410,304
1734587908,2024-12-19T06:58:28Z,ITY1642,"42.0799,15.2574",10363,410,304
1734587938,2024-12-19T06:58:58Z,ITY1642,"42.1110,15.1939",10363,411,303
1734587968,2024-12-19T06:59:28Z,ITY1642,"42.1419,15.1308",10371,410,303
1734588003,2024-12-19T07:00:03Z,ITY1642,"42.1772,15.0584",10371,409,303
1734588033,2024-12-19T07:00:33Z,ITY1642,"42.2093,14.9928",10363,409,303
1734588063,2024-12-19T07:01:03Z,ITY1642,"42.2400,14.9296",10363,408,303
1734588093,2024-12-19T07:01:33Z,ITY1642,"42.2711,14.8656",10356,407,303
1734588127,2024-12-19T07:02:07Z,ITY1642,"42.3063,14.7930",10356,408,303
1734588157,2024-12-19T07:02:37Z,ITY1642,"42.3372,14.7292",10363,409,303
1734588187,2024-12-19T07:03:07Z,ITY1642,"42.3679,14.6655",10371,409,303
1734588217,2024-12-19T07:03:37Z,ITY1642,"42.3998,14.5993",10371,410,303
1734588247,2024-12-19T07:04:07Z,ITY1642,"42.4300,14.5362",10363,410,303
1734588277,2024-12-19T07:04:37Z,ITY1642,"42.4609,14.4717",10363,409,303
1734588307,2024-12-19T07:05:07Z,ITY1642,"42.4923,14.4061",10363,409,303
1734588337,2024-12-19T07:05:37Z,ITY1642,"42.5227,14.3423",10356,410,303
1734588368,2024-12-19T07:06:08Z,ITY1642,"42.5549,14.2747",10356,410,303
1734588398,2024-12-19T07:06:38Z,ITY1642,"42.5857,14.2097",10363,410,303
