Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733354228,2024-12-05T00:17:08Z,MSR985,"32.2719,29.2658",9144,447,331
1733354259,2024-12-05T00:17:39Z,MSR985,"32.3269,29.2305",9144,447,331
1733354289,2024-12-05T00:18:09Z,MSR985,"32.3813,29.1955",9144,447,331
1733354319,2024-12-05T00:18:39Z,MSR985,"32.4362,29.1601",9144,446,331
1733354349,2024-12-05T00:19:09Z,MSR985,"32.4901,29.1254",9144,445,331
1733354379,2024-12-05T00:19:39Z,MSR985,"32.5452,29.0899",9144,445,331
1733354409,2024-12-05T00:20:09Z,MSR985,"32.5995,29.0549",9144,445,331
1733354439,2024-12-05T00:20:39Z,MSR985,"32.6537,29.0198",9144,445,331
1733354469,2024-12-05T00:21:09Z,MSR985,"32.7060,28.9859",9144,444,331
1733354516,2024-12-05T00:21:56Z,MSR985,"32.7907,28.9310",9144,443,331
1733354554,2024-12-05T00:22:34Z,MSR985,"32.8607,28.8855",9144,442,331
1733354585,2024-12-05T00:23:05Z,MSR985,"32.9162,28.8493",9144,442,331
1733354619,2024-12-05T00:23:39Z,MSR985,"32.9766,28.8099",9144,442,331
1733354649,2024-12-05T00:24:09Z,MSR985,"33.0311,28.7743",9144,442,331
1733354680,2024-12-05T00:24:40Z,MSR985,"33.0862,28.7383",9144,443,331
1733354710,2024-12-05T00:25:10Z,MSR985,"33.1392,28.7035",9144,445,331
1733354741,2024-12-05T00:25:41Z,MSR985,"33.1945,28.6673",9144,444,331
1733354800,2024-12-05T00:26:40Z,MSR985,"33.3021,28.5966",9144,445,331
1733354830,2024-12-05T00:27:10Z,MSR985,"33.3554,28.5614",9144,446,331
1733354860,2024-12-05T00:27:40Z,MSR985,"33.4094,28.5259",9144,445,331
1733354891,2024-12-05T00:28:11Z,MSR985,"33.4669,28.4879",9144,446,331
1733354921,2024-12-05T00:28:41Z,MSR985,"33.5210,28.4521",9144,447,331
1733354951,2024-12-05T00:29:11Z,MSR985,"33.5741,28.4169",9144,446,331
1733355006,2024-12-05T00:30:06Z,MSR985,"33.6748,28.3500",9144,446,331
1733355037,2024-12-05T00:30:37Z,MSR985,"33.7295,28.3136",9144,447,331
1733355067,2024-12-05T00:31:07Z,MSR985,"33.7844,28.2770",9144,447,331
1733355097,2024-12-05T00:31:37Z,MSR985,"33.8392,28.2404",9144,446,331
1733355127,2024-12-05T00:32:07Z,MSR985,"33.8924,28.2044",9144,447,331
1733355157,2024-12-05T00:32:37Z,MSR985,"33.9469,28.1685",9144,449,332
1733355187,2024-12-05T00:33:07Z,MSR985,"34.0018,28.1352",9144,449,334
1733355218,2024-12-05T00:33:38Z,MSR985,"34.0606,28.1014",9144,450,335
1733355248,2024-12-05T00:34:08Z,MSR985,"34.1176,28.0693",9144,450,335
1733355281,2024-12-05T00:34:41Z,MSR985,"34.1808,28.0341",9144,450,335
1733355312,2024-12-05T00:35:12Z,MSR985,"34.2377,28.0022",9144,451,335
1733355342,2024-12-05T00:35:42Z,MSR985,"34.2934,27.9707",9144,451,335
1733355372,2024-12-05T00:36:12Z,MSR985,"34.3509,27.9382",9144,451,335
1733355402,2024-12-05T00:36:42Z,MSR985,"34.4081,27.9056",9144,451,335
1733355432,2024-12-05T00:37:12Z,MSR985,"34.4653,27.8730",9144,451,335
1733355462,2024-12-05T00:37:42Z,MSR985,"34.5220,27.8406",9144,451,335
1733355492,2024-12-05T00:38:12Z,MSR985,"34.5787,27.8081",9144,451,335
1733355522,2024-12-05T00:38:42Z,MSR985,"34.6358,27.7752",9144,451,335
1733355552,2024-12-05T00:39:12Z,MSR985,"34.6925,27.7424",9144,451,334
1733355582,2024-12-05T00:39:42Z,MSR985,"34.7482,27.7102",9144,452,335
1733355613,2024-12-05T00:40:13Z,MSR985,"34.8052,27.6773",9144,452,335
