Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733214741,2024-12-03T08:32:21Z,GTI4231,"40.510433,17.400064",0,0,78
1733215509,2024-12-03T08:45:09Z,GTI4231,"40.510338,17.400269",0,3,118
1733215526,2024-12-03T08:45:26Z,GTI4231,"40.510105,17.400391",0,4,157
1733215534,2024-12-03T08:45:34Z,GTI4231,"40.509895,17.400455",0,6,165
1733215542,2024-12-03T08:45:42Z,GTI4231,"40.509693,17.400528",0,7,168
1733215549,2024-12-03T08:45:49Z,GTI4231,"40.509476,17.40065",0,7,154
1733215556,2024-12-03T08:45:56Z,GTI4231,"40.50935,17.400908",0,7,120
1733215561,2024-12-03T08:46:01Z,GTI4231,"40.509338,17.401138",0,7,98
1733215567,2024-12-03T08:46:07Z,GTI4231,"40.509361,17.401398",0,7,84
1733215574,2024-12-03T08:46:14Z,GTI4231,"40.509418,17.401688",0,7,78
1733215580,2024-12-03T08:46:20Z,GTI4231,"40.509453,17.401932",0,7,78
1733215585,2024-12-03T08:46:25Z,GTI4231,"40.50948,17.402142",0,7,78
1733215590,2024-12-03T08:46:30Z,GTI4231,"40.50951,17.402359",0,7,78
1733215598,2024-12-03T08:46:38Z,GTI4231,"40.509571,17.40275",0,8,78
1733215607,2024-12-03T08:46:47Z,GTI4231,"40.509647,17.403229",0,10,78
1733215613,2024-12-03T08:46:53Z,GTI4231,"40.509701,17.403593",0,10,78
1733215621,2024-12-03T08:47:01Z,GTI4231,"40.509762,17.404007",0,9,78
1733215628,2024-12-03T08:47:08Z,GTI4231,"40.509827,17.404388",0,9,78
1733215636,2024-12-03T08:47:16Z,GTI4231,"40.509884,17.404795",0,8,81
1733215642,2024-12-03T08:47:22Z,GTI4231,"40.509853,17.40509",0,7,98
1733215650,2024-12-03T08:47:30Z,GTI4231,"40.509705,17.405319",0,7,132
1733215658,2024-12-03T08:47:38Z,GTI4231,"40.509457,17.405434",0,9,160
1733215663,2024-12-03T08:47:43Z,GTI4231,"40.509201,17.405518",0,12,168
1733215667,2024-12-03T08:47:47Z,GTI4231,"40.508953,17.405575",0,14,168
1733215671,2024-12-03T08:47:51Z,GTI4231,"40.508686,17.40564",0,15,168
1733215674,2024-12-03T08:47:54Z,GTI4231,"40.50843,17.405699",0,17,168
1733215678,2024-12-03T08:47:58Z,GTI4231,"40.508152,17.405777",0,18,168
1733215681,2024-12-03T08:48:01Z,GTI4231,"40.507885,17.40584",0,19,168
1733215688,2024-12-03T08:48:08Z,GTI4231,"40.50721,17.406021",0,21,168
1733215694,2024-12-03T08:48:14Z,GTI4231,"40.506569,17.406199",0,21,168
1733215702,2024-12-03T08:48:22Z,GTI4231,"40.505859,17.406385",0,21,168
1733215710,2024-12-03T08:48:30Z,GTI4231,"40.505058,17.406586",0,21,168
1733215716,2024-12-03T08:48:36Z,GTI4231,"40.504406,17.406769",0,21,168
1733215724,2024-12-03T08:48:44Z,GTI4231,"40.503704,17.406948",0,21,168
1733215730,2024-12-03T08:48:50Z,GTI4231,"40.503113,17.407103",0,21,168
1733215739,2024-12-03T08:48:59Z,GTI4231,"40.502186,17.407349",0,21,168
1733215746,2024-12-03T08:49:06Z,GTI4231,"40.501553,17.407509",0,21,168
1733215754,2024-12-03T08:49:14Z,GTI4231,"40.500767,17.407715",0,21,168
1733215763,2024-12-03T08:49:23Z,GTI4231,"40.499889,17.407961",0,21,168
1733215770,2024-12-03T08:49:30Z,GTI4231,"40.499191,17.408133",0,17,168
1733215779,2024-12-03T08:49:39Z,GTI4231,"40.498688,17.408258",0,12,168
1733215785,2024-12-03T08:49:45Z,GTI4231,"40.498363,17.408386",0,11,160
1733215790,2024-12-03T08:49:50Z,GTI4231,"40.498158,17.408554",0,11,146
1733215795,2024-12-03T08:49:55Z,GTI4231,"40.497963,17.408813",0,12,137
1733215800,2024-12-03T08:50:00Z,GTI4231,"40.497784,17.409054",0,12,135
1733215804,2024-12-03T08:50:04Z,GTI4231,"40.497631,17.409271",0,11,132
1733215812,2024-12-03T08:50:12Z,GTI4231,"40.497353,17.40943",0,8,165
1733215818,2024-12-03T08:50:18Z,GTI4231,"40.497143,17.409288",0,8,208
1733215823,2024-12-03T08:50:23Z,GTI4231,"40.49707,17.409073",0,8,241
1733215828,2024-12-03T08:50:28Z,GTI4231,"40.49707,17.408859",0,7,275
1733215838,2024-12-03T08:50:38Z,GTI4231,"40.497303,17.408648",0,6,331
1733215844,2024-12-03T08:50:44Z,GTI4231,"40.497513,17.408602",0,7,348
1733215851,2024-12-03T08:50:51Z,GTI4231,"40.497757,17.408539",0,10,348
1733215855,2024-12-03T08:50:55Z,GTI4231,"40.497963,17.408478",0,15,348
1733215857,2024-12-03T08:50:57Z,GTI4231,"40.49818,17.408432",0,27,348
1733215859,2024-12-03T08:50:59Z,GTI4231,"40.498501,17.40834",0,36,348
1733215860,2024-12-03T08:51:00Z,GTI4231,"40.498749,17.408274",0,0,348
1733215864,2024-12-03T08:51:04Z,GTI4231,"40.49968,17.408039",0,58,348
1733215865,2024-12-03T08:51:05Z,GTI4231,"40.5,17.407944",0,63,348
1733215866,2024-12-03T08:51:06Z,GTI4231,"40.50032,17.407852",0,67,348
1733215867,2024-12-03T08:51:07Z,GTI4231,"40.500675,17.407776",0,72,348
1733215876,2024-12-03T08:51:16Z,GTI4231,"40.504543,17.406776",125,109,348
1733215886,2024-12-03T08:51:26Z,GTI4231,"40.510117,17.405273",125,145,348
1733215892,2024-12-03T08:51:32Z,GTI4231,"40.514465,17.404114",125,166,348
1733215902,2024-12-03T08:51:42Z,GTI4231,"40.522419,17.402094",250,182,349
1733215914,2024-12-03T08:51:54Z,GTI4231,"40.532272,17.399658",725,179,349
1733215923,2024-12-03T08:52:03Z,GTI4231,"40.5401,17.397705",1025,183,348
1733215930,2024-12-03T08:52:10Z,GTI4231,"40.54541,17.396362",1250,184,348
1733215937,2024-12-03T08:52:17Z,GTI4231,"40.551636,17.394653",1525,186,348
1733215945,2024-12-03T08:52:25Z,GTI4231,"40.558544,17.392668",1775,188,346
1733215949,2024-12-03T08:52:29Z,GTI4231,"40.561665,17.391294",1875,187,338
1733215953,2024-12-03T08:52:33Z,GTI4231,"40.564037,17.38986",1925,188,332
1733215955,2024-12-03T08:52:35Z,GTI4231,"40.566513,17.387939",1975,190,328
1733215957,2024-12-03T08:52:37Z,GTI4231,"40.567806,17.386675",2000,191,323
1733215959,2024-12-03T08:52:39Z,GTI4231,"40.569019,17.385427",2050,192,321
1733215961,2024-12-03T08:52:41Z,GTI4231,"40.570633,17.383545",2100,191,318
1733215964,2024-12-03T08:52:44Z,GTI4231,"40.571953,17.381931",2175,191,316
1733215966,2024-12-03T08:52:46Z,GTI4231,"40.573582,17.379808",2250,190,313
1733215968,2024-12-03T08:52:48Z,GTI4231,"40.575024,17.377748",2300,190,312
1733215970,2024-12-03T08:52:50Z,GTI4231,"40.576,17.376127",2350,190,308
1733215973,2024-12-03T08:52:53Z,GTI4231,"40.577629,17.373131",2425,190,303
1733215977,2024-12-03T08:52:57Z,GTI4231,"40.579121,17.369572",2500,191,298
1733215980,2024-12-03T08:53:00Z,GTI4231,"40.580238,17.366201",2550,192,292
1733215982,2024-12-03T08:53:02Z,GTI4231,"40.580887,17.363831",2600,193,289
1733215984,2024-12-03T08:53:04Z,GTI4231,"40.581345,17.361328",2650,194,283
1733215988,2024-12-03T08:53:08Z,GTI4231,"40.581802,17.357727",2725,193,277
1733215990,2024-12-03T08:53:10Z,GTI4231,"40.581913,17.354029",2800,193,274
1733215994,2024-12-03T08:53:14Z,GTI4231,"40.581589,17.349972",2900,193,263
1733215996,2024-12-03T08:53:16Z,GTI4231,"40.58107,17.347168",2950,193,256
1733215999,2024-12-03T08:53:19Z,GTI4231,"40.580563,17.344978",3000,192,253
1733216001,2024-12-03T08:53:21Z,GTI4231,"40.579865,17.342793",3075,192,247
1733216003,2024-12-03T08:53:23Z,GTI4231,"40.578644,17.339783",3150,192,240
1733216006,2024-12-03T08:53:26Z,GTI4231,"40.577396,17.337299",3225,191,236
1733216008,2024-12-03T08:53:28Z,GTI4231,"40.576263,17.335449",3300,191,231
1733216010,2024-12-03T08:53:30Z,GTI4231,"40.574753,17.333313",3350,191,228
1733216013,2024-12-03T08:53:33Z,GTI4231,"40.573441,17.331743",3375,193,222
1733216015,2024-12-03T08:53:35Z,GTI4231,"40.571732,17.329956",3425,197,216
1733216017,2024-12-03T08:53:37Z,GTI4231,"40.570087,17.328499",3425,198,214
1733216019,2024-12-03T08:53:39Z,GTI4231,"40.568554,17.327375",3450,200,210
1733216022,2024-12-03T08:53:42Z,GTI4231,"40.565598,17.325623",3475,203,203
1733216024,2024-12-03T08:53:44Z,GTI4231,"40.563766,17.32489",3500,207,196
1733216026,2024-12-03T08:53:46Z,GTI4231,"40.561752,17.324341",3525,209,191
1733216030,2024-12-03T08:53:50Z,GTI4231,"40.559101,17.323879",3550,211,184
1733216032,2024-12-03T08:53:52Z,GTI4231,"40.556717,17.323853",3600,212,180
1733216035,2024-12-03T08:53:55Z,GTI4231,"40.553658,17.324316",3700,213,170
1733216037,2024-12-03T08:53:57Z,GTI4231,"40.55159,17.32489",3750,212,165
1733216040,2024-12-03T08:54:00Z,GTI4231,"40.549118,17.325928",3825,214,160
1733216042,2024-12-03T08:54:02Z,GTI4231,"40.547195,17.327026",3875,215,156
1733216044,2024-12-03T08:54:04Z,GTI4231,"40.545776,17.328003",3900,216,152
1733216047,2024-12-03T08:54:07Z,GTI4231,"40.542847,17.330444",3975,217,145
1733216049,2024-12-03T08:54:09Z,GTI4231,"40.541107,17.332031",4025,217,144
1733216051,2024-12-03T08:54:11Z,GTI4231,"40.539276,17.333862",4100,216,142
1733216054,2024-12-03T08:54:14Z,GTI4231,"40.536713,17.336548",4200,216,141
1733216057,2024-12-03T08:54:17Z,GTI4231,"40.53508,17.338236",4275,216,140
1733216059,2024-12-03T08:54:19Z,GTI4231,"40.533508,17.339966",4325,216,140
1733216061,2024-12-03T08:54:21Z,GTI4231,"40.531544,17.342106",4400,216,140
1733216063,2024-12-03T08:54:23Z,GTI4231,"40.529636,17.344103",4450,217,140
1733216066,2024-12-03T08:54:26Z,GTI4231,"40.528145,17.345665",4500,217,140
1733216069,2024-12-03T08:54:29Z,GTI4231,"40.525818,17.348162",4575,218,140
1733216072,2024-12-03T08:54:32Z,GTI4231,"40.52335,17.350845",4650,217,140
1733216074,2024-12-03T08:54:34Z,GTI4231,"40.521534,17.352968",4725,217,138
1733216077,2024-12-03T08:54:37Z,GTI4231,"40.519409,17.355774",4775,218,132
1733216080,2024-12-03T08:54:40Z,GTI4231,"40.518135,17.357712",4825,219,129
1733216082,2024-12-03T08:54:42Z,GTI4231,"40.516891,17.359924",4850,219,125
1733216085,2024-12-03T08:54:45Z,GTI4231,"40.514969,17.364014",4925,221,119
1733216087,2024-12-03T08:54:47Z,GTI4231,"40.514008,17.366577",4950,222,115
1733216089,2024-12-03T08:54:49Z,GTI4231,"40.513294,17.369011",5000,222,109
1733216092,2024-12-03T08:54:52Z,GTI4231,"40.512405,17.372925",5050,222,104
1733216095,2024-12-03T08:54:55Z,GTI4231,"40.511993,17.375814",5125,221,98
1733216098,2024-12-03T08:54:58Z,GTI4231,"40.511398,17.381958",5275,220,96
1733216100,2024-12-03T08:55:00Z,GTI4231,"40.511295,17.383368",5325,219,95
1733216103,2024-12-03T08:55:03Z,GTI4231,"40.511124,17.386169",5400,217,94
1733216105,2024-12-03T08:55:05Z,GTI4231,"40.510876,17.390047",5500,216,94
1733216107,2024-12-03T08:55:07Z,GTI4231,"40.510689,17.392668",5575,215,95
