Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733259009,2024-12-03T20:50:09Z,ITY1632,"41.135883,16.751091",450,147,249
1733259019,2024-12-03T20:50:19Z,ITY1632,"41.133419,16.742414",900,147,248
1733259028,2024-12-03T20:50:28Z,ITY1632,"41.130951,16.734674",1400,145,246
1733259034,2024-12-03T20:50:34Z,ITY1632,"41.129105,16.729126",1625,154,246
1733259044,2024-12-03T20:50:44Z,ITY1632,"41.12648,16.720942",1925,165,247
1733259050,2024-12-03T20:50:50Z,ITY1632,"41.124573,16.714722",2125,173,248
1733259057,2024-12-03T20:50:57Z,ITY1632,"41.122513,16.707764",2350,183,249
1733259066,2024-12-03T20:51:06Z,ITY1632,"41.119858,16.698364",2625,196,249
1733259072,2024-12-03T20:51:12Z,ITY1632,"41.117825,16.690979",2850,204,250
1733259079,2024-12-03T20:51:19Z,ITY1632,"41.115601,16.682739",3150,211,250
1733259088,2024-12-03T20:51:28Z,ITY1632,"41.112488,16.671448",3525,226,250
1733259096,2024-12-03T20:51:36Z,ITY1632,"41.109238,16.659546",3950,237,249
1733259103,2024-12-03T20:51:43Z,ITY1632,"41.106857,16.650818",4275,247,250
1733259109,2024-12-03T20:51:49Z,ITY1632,"41.104694,16.641478",4575,256,255
1733259112,2024-12-03T20:51:52Z,ITY1632,"41.104065,16.637817",4700,258,258
1733259114,2024-12-03T20:51:54Z,ITY1632,"41.103561,16.633789",4850,259,260
1733259116,2024-12-03T20:51:56Z,ITY1632,"41.103241,16.630615",4975,261,262
1733259118,2024-12-03T20:51:58Z,ITY1632,"41.102879,16.626871",5125,262,263
1733259120,2024-12-03T20:52:00Z,ITY1632,"41.1026,16.623314",5300,262,263
1733259123,2024-12-03T20:52:03Z,ITY1632,"41.102322,16.620131",5425,263,263
1733259125,2024-12-03T20:52:05Z,ITY1632,"41.102097,16.616821",5600,263,263
1733259127,2024-12-03T20:52:07Z,ITY1632,"41.101856,16.614012",5725,263,264
1733259129,2024-12-03T20:52:09Z,ITY1632,"41.101578,16.610828",5875,263,264
1733259131,2024-12-03T20:52:11Z,ITY1632,"41.101273,16.60675",6075,264,263
1733259133,2024-12-03T20:52:13Z,ITY1632,"41.100971,16.603462",6225,264,263
1733259136,2024-12-03T20:52:16Z,ITY1632,"41.100597,16.598906",6450,264,263
1733259149,2024-12-03T20:52:29Z,ITY1632,"41.098831,16.577682",7375,269,263
1733259158,2024-12-03T20:52:38Z,ITY1632,"41.098782,16.562452",7975,272,275
1733259162,2024-12-03T20:52:42Z,ITY1632,"41.09948,16.556833",8200,273,280
1733259164,2024-12-03T20:52:44Z,ITY1632,"41.100037,16.55365",8325,273,283
1733259166,2024-12-03T20:52:46Z,ITY1632,"41.100739,16.550716",8475,273,286
1733259168,2024-12-03T20:52:48Z,ITY1632,"41.101959,16.546509",8650,274,290
1733259170,2024-12-03T20:52:50Z,ITY1632,"41.102741,16.544161",8750,276,295
1733259172,2024-12-03T20:52:52Z,ITY1632,"41.104568,16.539795",8950,275,299
1733259174,2024-12-03T20:52:54Z,ITY1632,"41.105896,16.537109",9075,276,303
1733259176,2024-12-03T20:52:56Z,ITY1632,"41.107361,16.534363",9225,276,305
1733259179,2024-12-03T20:52:59Z,ITY1632,"41.108932,16.531553",9400,275,307
1733259181,2024-12-03T20:53:01Z,ITY1632,"41.11084,16.528137",9600,274,307
1733259183,2024-12-03T20:53:03Z,ITY1632,"41.112534,16.525269",9800,272,307
1733259185,2024-12-03T20:53:05Z,ITY1632,"41.114006,16.522688",9975,271,307
1733259187,2024-12-03T20:53:07Z,ITY1632,"41.115509,16.520142",10150,269,307
1733259189,2024-12-03T20:53:09Z,ITY1632,"41.117405,16.516758",10375,268,307
1733259191,2024-12-03T20:53:11Z,ITY1632,"41.118668,16.514648",10500,267,307
1733259193,2024-12-03T20:53:13Z,ITY1632,"41.120197,16.511951",10675,267,307
1733259196,2024-12-03T20:53:16Z,ITY1632,"41.122009,16.508789",10875,267,307
1733259198,2024-12-03T20:53:18Z,ITY1632,"41.12352,16.506165",11025,267,307
1733259201,2024-12-03T20:53:21Z,ITY1632,"41.125671,16.50238",11225,267,306
1733259215,2024-12-03T20:53:35Z,ITY1632,"41.136292,16.483765",12050,275,307
1733259246,2024-12-03T20:54:06Z,ITY1632,"41.160835,16.441103",13975,283,307
1733259277,2024-12-03T20:54:37Z,ITY1632,"41.186142,16.3974",15925,288,307
1733259311,2024-12-03T20:55:11Z,ITY1632,"41.215393,16.34668",17075,323,307
1733259343,2024-12-03T20:55:43Z,ITY1632,"41.244911,16.295408",18500,338,307
1733259375,2024-12-03T20:56:15Z,ITY1632,"41.275314,16.242371",20125,346,307
1733259409,2024-12-03T20:56:49Z,ITY1632,"41.308319,16.184753",22175,343,307
1733259441,2024-12-03T20:57:21Z,ITY1632,"41.339539,16.129944",23800,346,307
1733259474,2024-12-03T20:57:54Z,ITY1632,"41.371441,16.073809",24950,361,307
1733259504,2024-12-03T20:58:24Z,ITY1632,"41.401932,16.020302",26050,371,307
1733259536,2024-12-03T20:58:56Z,ITY1632,"41.436493,15.959702",27375,376,307
1733259569,2024-12-03T20:59:29Z,ITY1632,"41.470688,15.899339",28700,380,306
1733259600,2024-12-03T21:00:00Z,ITY1632,"41.502995,15.841966",29800,385,306
1733259614,2024-12-03T21:00:14Z,ITY1632,"41.517147,15.816991",30125,390,307
1733259671,2024-12-03T21:01:11Z,ITY1632,"41.58078,15.703958",31675,405,306
1733259702,2024-12-03T21:01:42Z,ITY1632,"41.616444,15.640443",32000,406,306
1733259734,2024-12-03T21:02:14Z,ITY1632,"41.652191,15.576803",32350,410,306
1733259765,2024-12-03T21:02:45Z,ITY1632,"41.687485,15.513632",33475,408,306
1733259796,2024-12-03T21:03:16Z,ITY1632,"41.722687,15.45071",34050,418,306
1733259828,2024-12-03T21:03:48Z,ITY1632,"41.759674,15.384231",34925,419,306
1733259859,2024-12-03T21:04:19Z,ITY1632,"41.795975,15.318874",35450,426,306
1733259890,2024-12-03T21:04:50Z,ITY1632,"41.833332,15.251451",35900,426,306
1733259921,2024-12-03T21:05:21Z,ITY1632,"41.868668,15.1876",36325,419,306
1733259953,2024-12-03T21:05:53Z,ITY1632,"41.90506,15.121619",36925,423,306
1733259983,2024-12-03T21:06:23Z,ITY1632,"41.939701,15.058743",37675,422,306
1733260015,2024-12-03T21:06:55Z,ITY1632,"41.976608,14.991656",37975,418,306
1733260049,2024-12-03T21:07:29Z,ITY1632,"42.015198,14.921307",38000,412,306
1733260081,2024-12-03T21:08:01Z,ITY1632,"42.051243,14.855368",38000,413,306
1733260113,2024-12-03T21:08:33Z,ITY1632,"42.087936,14.788222",38000,413,306
1733260145,2024-12-03T21:09:05Z,ITY1632,"42.124187,14.72168",38000,416,306
1733260178,2024-12-03T21:09:38Z,ITY1632,"42.161243,14.65359",38025,420,306
1733260208,2024-12-03T21:10:08Z,ITY1632,"42.196625,14.588502",38025,420,306
1733260240,2024-12-03T21:10:40Z,ITY1632,"42.230759,14.525049",38050,421,305
1733260271,2024-12-03T21:11:11Z,ITY1632,"42.267242,14.457688",38050,420,305
1733260304,2024-12-03T21:11:44Z,ITY1632,"42.305511,14.386597",38000,420,306
1733260335,2024-12-03T21:12:15Z,ITY1632,"42.342007,14.318891",38025,419,305
1733260366,2024-12-03T21:12:46Z,ITY1632,"42.376968,14.253449",38025,417,305
1733260397,2024-12-03T21:13:17Z,ITY1632,"42.410484,14.190886",38000,414,305
1733260431,2024-12-03T21:13:51Z,ITY1632,"42.449799,14.117557",38000,412,305
1733260462,2024-12-03T21:14:22Z,ITY1632,"42.483757,14.053621",37975,411,305
1733260493,2024-12-03T21:14:53Z,ITY1632,"42.5186,13.988092",37975,410,305
1733260524,2024-12-03T21:15:24Z,ITY1632,"42.551468,13.926107",37975,408,305
1733260556,2024-12-03T21:15:56Z,ITY1632,"42.587524,13.858167",37975,407,305
1733260586,2024-12-03T21:16:26Z,ITY1632,"42.619457,13.797614",38000,406,305
1733260619,2024-12-03T21:16:59Z,ITY1632,"42.656792,13.726778",37975,405,305
1733260650,2024-12-03T21:17:30Z,ITY1632,"42.690681,13.662649",38000,404,305
1733260683,2024-12-03T21:18:03Z,ITY1632,"42.725739,13.595643",38000,403,305
1733260715,2024-12-03T21:18:35Z,ITY1632,"42.760391,13.529538",38000,402,305
1733260747,2024-12-03T21:19:07Z,ITY1632,"42.794868,13.46317",38000,402,305
1733260779,2024-12-03T21:19:39Z,ITY1632,"42.828991,13.397893",38000,401,305
1733260812,2024-12-03T21:20:12Z,ITY1632,"42.86412,13.330377",38000,400,305
1733260844,2024-12-03T21:20:44Z,ITY1632,"42.898819,13.263628",38000,401,305
1733260878,2024-12-03T21:21:18Z,ITY1632,"42.934479,13.194841",37975,401,305
1733260912,2024-12-03T21:21:52Z,ITY1632,"42.970825,13.124638",38000,402,305
1733260944,2024-12-03T21:22:24Z,ITY1632,"43.006256,13.056229",38000,403,305
1733260978,2024-12-03T21:22:58Z,ITY1632,"43.042107,12.986559",38000,403,304
1733261008,2024-12-03T21:23:28Z,ITY1632,"43.07373,12.924776",38000,405,304
1733261039,2024-12-03T21:23:59Z,ITY1632,"43.108395,12.857078",38025,405,304
1733261071,2024-12-03T21:24:31Z,ITY1632,"43.142704,12.790178",38025,404,304
1733261104,2024-12-03T21:25:04Z,ITY1632,"43.177666,12.721252",38025,403,304
1733261137,2024-12-03T21:25:37Z,ITY1632,"43.212433,12.652928",38000,403,304
1733261171,2024-12-03T21:26:11Z,ITY1632,"43.248138,12.582348",37975,404,304
1733261203,2024-12-03T21:26:43Z,ITY1632,"43.283012,12.513689",38025,404,304
1733261236,2024-12-03T21:27:16Z,ITY1632,"43.318314,12.443933",38025,404,304
1733261270,2024-12-03T21:27:50Z,ITY1632,"43.353424,12.374374",38025,403,304
1733261303,2024-12-03T21:28:23Z,ITY1632,"43.388176,12.305342",38000,402,304
1733261336,2024-12-03T21:28:56Z,ITY1632,"43.423603,12.234715",37975,402,304
1733261366,2024-12-03T21:29:26Z,ITY1632,"43.45549,12.17089",37975,401,304
1733261399,2024-12-03T21:29:59Z,ITY1632,"43.489655,12.102782",38000,401,304
1733261430,2024-12-03T21:30:30Z,ITY1632,"43.522568,12.036673",38025,400,304
1733261462,2024-12-03T21:31:02Z,ITY1632,"43.555389,11.971073",38025,396,304
1733261493,2024-12-03T21:31:33Z,ITY1632,"43.58765,11.906041",37950,393,304
1733261525,2024-12-03T21:32:05Z,ITY1632,"43.619492,11.841431",37250,386,304
1733261557,2024-12-03T21:32:37Z,ITY1632,"43.652126,11.775251",36450,388,304
1733261589,2024-12-03T21:33:09Z,ITY1632,"43.683655,11.711106",35700,388,303
1733261620,2024-12-03T21:33:40Z,ITY1632,"43.716064,11.64538",34875,394,304
1733261653,2024-12-03T21:34:13Z,ITY1632,"43.748978,11.578057",34100,397,304
1733261683,2024-12-03T21:34:43Z,ITY1632,"43.779541,11.515569",33350,392,304
1733261715,2024-12-03T21:35:15Z,ITY1632,"43.81208,11.449258",32750,390,304
1733261747,2024-12-03T21:35:47Z,ITY1632,"43.844376,11.383178",32225,391,304
1733261780,2024-12-03T21:36:20Z,ITY1632,"43.877392,11.315264",32000,394,303
1733261811,2024-12-03T21:36:51Z,ITY1632,"43.909103,11.249617",32000,390,303
1733261846,2024-12-03T21:37:26Z,ITY1632,"43.944763,11.175906",32000,391,303
1733261879,2024-12-03T21:37:59Z,ITY1632,"43.977573,11.107897",32000,388,303
1733261911,2024-12-03T21:38:31Z,ITY1632,"44.00766,11.042984",32000,390,299
1733261942,2024-12-03T21:39:02Z,ITY1632,"44.031876,10.973618",32000,384,292
1733261973,2024-12-03T21:39:33Z,ITY1632,"44.051685,10.900334",32000,381,293
1733261987,2024-12-03T21:39:47Z,ITY1632,"44.062672,10.869598",32000,383,298
1733261989,2024-12-03T21:39:49Z,ITY1632,"44.064392,10.865282",31975,383,299
1733261992,2024-12-03T21:39:52Z,ITY1632,"44.066116,10.861032",31975,382,299
1733262024,2024-12-03T21:40:24Z,ITY1632,"44.094223,10.791512",32000,377,299
1733262058,2024-12-03T21:40:58Z,ITY1632,"44.123608,10.718406",32000,376,299
1733262091,2024-12-03T21:41:31Z,ITY1632,"44.151123,10.650159",31650,376,299
1733262121,2024-12-03T21:42:01Z,ITY1632,"44.176712,10.586158",31150,379,298
1733262153,2024-12-03T21:42:33Z,ITY1632,"44.204269,10.517644",30600,378,299
1733262187,2024-12-03T21:43:07Z,ITY1632,"44.232494,10.446859",30050,372,298
1733262220,2024-12-03T21:43:40Z,ITY1632,"44.259567,10.378484",29500,366,299
1733262250,2024-12-03T21:44:10Z,ITY1632,"44.284424,10.316228",29000,356,299
1733262283,2024-12-03T21:44:43Z,ITY1632,"44.310654,10.250111",28450,358,298
1733262305,2024-12-03T21:45:05Z,ITY1632,"44.330566,10.20898",27500,362,309
1733262308,2024-12-03T21:45:08Z,ITY1632,"44.333817,10.203944",27300,366,311
1733262311,2024-12-03T21:45:11Z,ITY1632,"44.337479,10.198647",27050,367,314
1733262314,2024-12-03T21:45:14Z,ITY1632,"44.341553,10.19322",26775,370,317
1733262317,2024-12-03T21:45:17Z,ITY1632,"44.345032,10.18897",26575,371,319
