Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733416498,2024-12-05T16:34:58Z,CPA831,"40.650764,-73.796181",0,15,56
1733416508,2024-12-05T16:35:08Z,CPA831,"40.651112,-73.795319",0,17,61
1733416515,2024-12-05T16:35:15Z,CPA831,"40.651405,-73.794617",0,19,61
1733416522,2024-12-05T16:35:22Z,CPA831,"40.651749,-73.793839",0,20,61
1733416528,2024-12-05T16:35:28Z,CPA831,"40.652023,-73.793167",0,18,61
1733416532,2024-12-05T16:35:32Z,CPA831,"40.652126,-73.792839",0,15,67
1733416534,2024-12-05T16:35:34Z,CPA831,"40.652149,-73.792633",0,15,75
1733416536,2024-12-05T16:35:36Z,CPA831,"40.652138,-73.792389",0,16,87
1733416540,2024-12-05T16:35:40Z,CPA831,"40.652069,-73.792007",0,17,101
1733416545,2024-12-05T16:35:45Z,CPA831,"40.651932,-73.791489",0,17,106
1733416548,2024-12-05T16:35:48Z,CPA831,"40.65184,-73.791153",0,18,106
1733416555,2024-12-05T16:35:55Z,CPA831,"40.651657,-73.790344",0,19,106
1733416559,2024-12-05T16:35:59Z,CPA831,"40.651554,-73.78997",0,16,106
1733416562,2024-12-05T16:36:02Z,CPA831,"40.651497,-73.789703",0,15,106
1733416568,2024-12-05T16:36:08Z,CPA831,"40.651417,-73.789299",0,11,106
1733416577,2024-12-05T16:36:17Z,CPA831,"40.651123,-73.789047",0,9,146
1733416593,2024-12-05T16:36:33Z,CPA831,"40.650421,-73.789337",0,10,205
1733416600,2024-12-05T16:36:40Z,CPA831,"40.650215,-73.789688",0,11,230
1733416604,2024-12-05T16:36:44Z,CPA831,"40.650112,-73.78994",0,12,239
1733416609,2024-12-05T16:36:49Z,CPA831,"40.649986,-73.790283",0,13,241
1733416613,2024-12-05T16:36:53Z,CPA831,"40.649883,-73.790512",0,11,241
1733416631,2024-12-05T16:37:11Z,CPA831,"40.649357,-73.790604",0,0,177
1733416662,2024-12-05T16:37:42Z,CPA831,"40.648899,-73.790497",0,1,171
1733424662,2024-12-05T18:51:02Z,CPA831,"40.649712,-73.790924",0,0,171
1733424943,2024-12-05T18:55:43Z,CPA831,"40.649845,-73.790627",0,4,171
1733424951,2024-12-05T18:55:51Z,CPA831,"40.649937,-73.790375",0,6,171
1733424959,2024-12-05T18:55:59Z,CPA831,"40.650043,-73.790115",0,6,171
1733424969,2024-12-05T18:56:09Z,CPA831,"40.650158,-73.789841",0,5,171
1733424984,2024-12-05T18:56:24Z,CPA831,"40.650352,-73.789383",0,6,171
1733424994,2024-12-05T18:56:34Z,CPA831,"40.650604,-73.789169",0,0,171
1733425004,2024-12-05T18:56:44Z,CPA831,"40.65094,-73.789124",0,7,171
1733425012,2024-12-05T18:56:52Z,CPA831,"40.651245,-73.789093",0,9,171
1733425022,2024-12-05T18:57:02Z,CPA831,"40.651657,-73.789047",0,8,171
1733425030,2024-12-05T18:57:10Z,CPA831,"40.652012,-73.789017",0,10,171
1733425037,2024-12-05T18:57:17Z,CPA831,"40.652241,-73.78933",0,10,171
1733425049,2024-12-05T18:57:29Z,CPA831,"40.652382,-73.789955",0,9,171
1733425059,2024-12-05T18:57:39Z,CPA831,"40.652512,-73.790497",0,10,171
1733425067,2024-12-05T18:57:47Z,CPA831,"40.65263,-73.790985",0,11,171
1733425075,2024-12-05T18:57:55Z,CPA831,"40.652744,-73.791489",0,11,171
1733425082,2024-12-05T18:58:02Z,CPA831,"40.652859,-73.792007",0,12,171
1733425090,2024-12-05T18:58:10Z,CPA831,"40.652905,-73.792557",0,12,171
1733425098,2024-12-05T18:58:18Z,CPA831,"40.652859,-73.793152",0,13,171
1733425105,2024-12-05T18:58:25Z,CPA831,"40.65271,-73.793655",0,13,171
1733425113,2024-12-05T18:58:33Z,CPA831,"40.65247,-73.794281",0,14,171
1733425120,2024-12-05T18:58:40Z,CPA831,"40.652218,-73.794876",0,14,171
1733425129,2024-12-05T18:58:49Z,CPA831,"40.651939,-73.79554",0,15,171
1733425137,2024-12-05T18:58:57Z,CPA831,"40.651657,-73.796173",0,15,171
1733425154,2024-12-05T18:59:14Z,CPA831,"40.650993,-73.79744",0,15,171
1733425275,2024-12-05T19:01:15Z,CPA831,"40.641415,-73.796097",0,0,182
1733425282,2024-12-05T19:01:22Z,CPA831,"40.640755,-73.795959",0,20,165
1733425286,2024-12-05T19:01:26Z,CPA831,"40.640347,-73.7957",0,21,151
1733425300,2024-12-05T19:01:40Z,CPA831,"40.639503,-73.794327",0,22,120
1733425307,2024-12-05T19:01:47Z,CPA831,"40.639103,-73.793449",0,22,120
1733425309,2024-12-05T19:01:49Z,CPA831,"40.638988,-73.793198",0,23,120
1733425332,2024-12-05T19:02:12Z,CPA831,"40.637661,-73.790283",0,0,120
1733425339,2024-12-05T19:02:19Z,CPA831,"40.63726,-73.789398",0,25,120
1733425346,2024-12-05T19:02:26Z,CPA831,"40.636848,-73.788483",0,25,120
1733425358,2024-12-05T19:02:38Z,CPA831,"40.636112,-73.786835",0,26,120
1733425365,2024-12-05T19:02:45Z,CPA831,"40.63567,-73.785881",0,27,120
1733425372,2024-12-05T19:02:52Z,CPA831,"40.635204,-73.784851",0,27,120
1733425378,2024-12-05T19:02:58Z,CPA831,"40.634762,-73.783867",0,27,120
1733425385,2024-12-05T19:03:05Z,CPA831,"40.634365,-73.78299",0,25,120
1733425392,2024-12-05T19:03:12Z,CPA831,"40.633976,-73.782104",0,23,120
1733425399,2024-12-05T19:03:19Z,CPA831,"40.633621,-73.781342",0,20,120
1733425407,2024-12-05T19:03:27Z,CPA831,"40.633324,-73.780472",0,17,120
1733425415,2024-12-05T19:03:35Z,CPA831,"40.633301,-73.779663",0,16,120
1733425423,2024-12-05T19:03:43Z,CPA831,"40.633446,-73.778938",0,14,120
1733425430,2024-12-05T19:03:50Z,CPA831,"40.633297,-73.77845",0,13,120
1733425438,2024-12-05T19:03:58Z,CPA831,"40.633038,-73.777954",0,14,120
1733425444,2024-12-05T19:04:04Z,CPA831,"40.632843,-73.777512",0,14,120
1733425452,2024-12-05T19:04:12Z,CPA831,"40.63258,-73.776932",0,12,120
1733425459,2024-12-05T19:04:19Z,CPA831,"40.632339,-73.776405",0,15,120
1733425467,2024-12-05T19:04:27Z,CPA831,"40.63205,-73.775749",0,15,120
1733425475,2024-12-05T19:04:35Z,CPA831,"40.631794,-73.775208",0,14,120
1733425483,2024-12-05T19:04:43Z,CPA831,"40.631561,-73.774689",0,12,120
1733425490,2024-12-05T19:04:50Z,CPA831,"40.631374,-73.774284",0,11,120
1733425497,2024-12-05T19:04:57Z,CPA831,"40.631207,-73.773911",0,9,120
1733425505,2024-12-05T19:05:05Z,CPA831,"40.63105,-73.773552",0,8,120
1733425513,2024-12-05T19:05:13Z,CPA831,"40.63092,-73.77327",0,7,120
