Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733202855,2024-12-03T05:14:15Z,UAE261,"25.244347,55.368893",0,0,75
1733202940,2024-12-03T05:15:40Z,UAE261,"25.244259,55.368488",0,2,75
1733202960,2024-12-03T05:16:00Z,UAE261,"25.244207,55.368282",0,2,75
1733202983,2024-12-03T05:16:23Z,UAE261,"25.244167,55.368053",0,2,73
1733203007,2024-12-03T05:16:47Z,UAE261,"25.244127,55.367802",0,2,64
1733203028,2024-12-03T05:17:08Z,UAE261,"25.244022,55.367596",0,3,70
1733203046,2024-12-03T05:17:26Z,UAE261,"25.243917,55.36739",0,3,78
1733203065,2024-12-03T05:17:45Z,UAE261,"25.243847,55.367168",0,2,87
1733203086,2024-12-03T05:18:06Z,UAE261,"25.243835,55.366962",0,1,90
1733203126,2024-12-03T05:18:46Z,UAE261,"25.243755,55.367176",0,3,106
1733203147,2024-12-03T05:19:07Z,UAE261,"25.243652,55.367405",0,2,109
1733203366,2024-12-03T05:22:46Z,UAE261,"25.243538,55.367725",0,2,118
1733203383,2024-12-03T05:23:03Z,UAE261,"25.243423,55.367928",0,4,120
1733203393,2024-12-03T05:23:13Z,UAE261,"25.243299,55.368141",0,6,120
1733203406,2024-12-03T05:23:26Z,UAE261,"25.243103,55.368504",0,0,120
1733203417,2024-12-03T05:23:37Z,UAE261,"25.242908,55.368843",0,8,120
1733203425,2024-12-03T05:23:45Z,UAE261,"25.24276,55.369122",0,8,120
1733203443,2024-12-03T05:24:03Z,UAE261,"25.242323,55.369904",0,0,120
1733203451,2024-12-03T05:24:11Z,UAE261,"25.242125,55.370266",0,11,120
1733203458,2024-12-03T05:24:18Z,UAE261,"25.241947,55.370571",0,11,120
1733203469,2024-12-03T05:24:29Z,UAE261,"25.24165,55.37112",0,0,120
1733203475,2024-12-03T05:24:35Z,UAE261,"25.241484,55.371407",0,11,120
1733203482,2024-12-03T05:24:42Z,UAE261,"25.241276,55.371792",0,12,120
1733203490,2024-12-03T05:24:50Z,UAE261,"25.241066,55.372169",0,12,120
1733203497,2024-12-03T05:24:57Z,UAE261,"25.240856,55.372543",0,12,120
1733203503,2024-12-03T05:25:03Z,UAE261,"25.240677,55.372875",0,12,120
1733203510,2024-12-03T05:25:10Z,UAE261,"25.240473,55.373245",0,12,120
1733203517,2024-12-03T05:25:17Z,UAE261,"25.240263,55.373619",0,12,120
1733203525,2024-12-03T05:25:25Z,UAE261,"25.240019,55.374046",0,12,120
1733203533,2024-12-03T05:25:33Z,UAE261,"25.239819,55.374451",0,12,118
1733203537,2024-12-03T05:25:37Z,UAE261,"25.239738,55.374668",0,11,115
1733203541,2024-12-03T05:25:41Z,UAE261,"25.239716,55.374908",0,11,104
1733203546,2024-12-03T05:25:46Z,UAE261,"25.23975,55.375202",0,11,90
1733203552,2024-12-03T05:25:52Z,UAE261,"25.239864,55.37553",0,11,73
1733203557,2024-12-03T05:25:57Z,UAE261,"25.239983,55.375744",0,11,64
1733203562,2024-12-03T05:26:02Z,UAE261,"25.240158,55.375965",0,11,53
1733203567,2024-12-03T05:26:07Z,UAE261,"25.240379,55.376129",0,11,39
1733203572,2024-12-03T05:26:12Z,UAE261,"25.240623,55.376274",0,11,30
1733203578,2024-12-03T05:26:18Z,UAE261,"25.240883,55.376461",0,12,30
1733203583,2024-12-03T05:26:23Z,UAE261,"25.241089,55.376614",0,12,30
1733203588,2024-12-03T05:26:28Z,UAE261,"25.241344,55.376781",0,11,30
1733203595,2024-12-03T05:26:35Z,UAE261,"25.241659,55.376987",0,11,30
