Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733303231,2024-12-04T09:07:11Z,DLA8218,"48.347923,11.797063",0,0,174
1733303251,2024-12-04T09:07:31Z,DLA8218,"48.346874,11.796715",0,0,230
1733303262,2024-12-04T09:07:42Z,DLA8218,"48.34647,11.7959",0,14,233
1733303269,2024-12-04T09:07:49Z,DLA8218,"48.346195,11.795338",0,14,233
1733303280,2024-12-04T09:08:00Z,DLA8218,"48.345737,11.794422",0,18,233
1733303287,2024-12-04T09:08:07Z,DLA8218,"48.345314,11.793552",0,22,233
1733303295,2024-12-04T09:08:15Z,DLA8218,"48.34473,11.792396",0,27,233
1733303303,2024-12-04T09:08:23Z,DLA8218,"48.344055,11.790986",0,31,236
1733303310,2024-12-04T09:08:30Z,DLA8218,"48.343651,11.789487",0,40,258
1733303312,2024-12-04T09:08:32Z,DLA8218,"48.343597,11.788876",0,49,264
1733303343,2024-12-04T09:09:03Z,DLA8218,"48.341751,11.764912",1200,157,263
1733303353,2024-12-04T09:09:13Z,DLA8218,"48.340942,11.753892",1575,154,264
1733303362,2024-12-04T09:09:22Z,DLA8218,"48.340347,11.744244",1875,156,265
1733303372,2024-12-04T09:09:32Z,DLA8218,"48.339706,11.734455",2275,153,264
1733303380,2024-12-04T09:09:40Z,DLA8218,"48.338867,11.725159",2600,156,257
1733303383,2024-12-04T09:09:43Z,DLA8218,"48.338215,11.721906",2675,158,248
1733303386,2024-12-04T09:09:46Z,DLA8218,"48.337238,11.719088",2750,162,241
1733303390,2024-12-04T09:09:50Z,DLA8218,"48.335888,11.716124",2800,167,229
1733303393,2024-12-04T09:09:53Z,DLA8218,"48.333984,11.713327",2850,171,221
1733303396,2024-12-04T09:09:56Z,DLA8218,"48.331978,11.711281",2875,178,211
1733303399,2024-12-04T09:09:59Z,DLA8218,"48.329956,11.709876",2900,184,200
1733303402,2024-12-04T09:10:02Z,DLA8218,"48.327347,11.708679",2925,189,193
1733303405,2024-12-04T09:10:05Z,DLA8218,"48.324509,11.708045",2975,195,185
1733303408,2024-12-04T09:10:08Z,DLA8218,"48.321735,11.707884",3000,200,180
1733303411,2024-12-04T09:10:11Z,DLA8218,"48.319035,11.707956",3075,203,178
1733303414,2024-12-04T09:10:14Z,DLA8218,"48.316101,11.708029",3150,205,178
1733303417,2024-12-04T09:10:17Z,DLA8218,"48.3134,11.708173",3250,207,178
1733303420,2024-12-04T09:10:20Z,DLA8218,"48.310501,11.708257",3350,208,179
1733303423,2024-12-04T09:10:23Z,DLA8218,"48.307583,11.708245",3475,208,179
1733303426,2024-12-04T09:10:26Z,DLA8218,"48.304642,11.708257",3600,209,180
