Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734404461,2024-12-17T04:01:01Z,ETD78G,"41.7966,12.2233",137,172,250
1734404478,2024-12-17T04:01:18Z,ETD78G,"41.7904,12.2078",335,182,232
1734404494,2024-12-17T04:01:34Z,ETD78G,"41.7796,12.1947",541,182,220
1734404510,2024-12-17T04:01:50Z,ETD78G,"41.7700,12.1840",716,182,220
1734404527,2024-12-17T04:02:07Z,ETD78G,"41.7576,12.1715",892,193,211
1734404543,2024-12-17T04:02:23Z,ETD78G,"41.7436,12.1676",983,218,181
1734404566,2024-12-17T04:02:46Z,ETD78G,"41.7184,12.1685",1128,246,178
1734404707,2024-12-17T04:05:07Z,ETD78G,"41.5401,12.1785",2987,287,174
1734404728,2024-12-17T04:05:28Z,ETD78G,"41.5156,12.1964",3170,303,135
1734404756,2024-12-17T04:05:56Z,ETD78G,"41.4877,12.2395",3368,339,129
1734404777,2024-12-17T04:06:17Z,ETD78G,"41.4731,12.2797",3520,362,105
1734405046,2024-12-17T04:10:46Z,ETD78G,"41.8287,12.7079",7323,431,35
1734405076,2024-12-17T04:11:16Z,ETD78G,"41.8775,12.7542",7673,439,35
1734405107,2024-12-17T04:11:47Z,ETD78G,"41.9310,12.8048",8009,447,35
1734405137,2024-12-17T04:12:17Z,ETD78G,"41.9821,12.8534",8321,454,35
1734405167,2024-12-17T04:12:47Z,ETD78G,"42.0343,12.9030",8626,460,35
1734405192,2024-12-17T04:13:12Z,ETD78G,"42.0765,12.9439",8847,468,38
1734405212,2024-12-17T04:13:32Z,ETD78G,"42.1079,12.9864",9007,481,50
1734405237,2024-12-17T04:13:57Z,ETD78G,"42.1368,13.0478",9197,495,62
1734405267,2024-12-17T04:14:27Z,ETD78G,"42.1695,13.1308",9533,493,62
1734405297,2024-12-17T04:14:57Z,ETD78G,"42.2013,13.2130",9845,493,63
1734405327,2024-12-17T04:15:27Z,ETD78G,"42.2322,13.2933",10196,489,63
1734405357,2024-12-17T04:15:57Z,ETD78G,"42.2636,13.3746",10493,487,63
1734405388,2024-12-17T04:16:28Z,ETD78G,"42.2958,13.4579",10668,485,63
1734405420,2024-12-17T04:17:00Z,ETD78G,"42.3293,13.5453",10668,485,64
1734405451,2024-12-17T04:17:31Z,ETD78G,"42.3543,13.6322",10668,492,72
1734405481,2024-12-17T04:18:01Z,ETD78G,"42.3709,13.7214",10668,494,77
1734405511,2024-12-17T04:18:31Z,ETD78G,"42.3864,13.8102",10668,494,77
1734405541,2024-12-17T04:19:01Z,ETD78G,"42.4020,13.9008",10668,496,77
1734405571,2024-12-17T04:19:31Z,ETD78G,"42.4178,13.9931",10668,496,77
1734405602,2024-12-17T04:20:02Z,ETD78G,"42.4330,14.0821",10668,497,77
1734405633,2024-12-17T04:20:33Z,ETD78G,"42.4491,14.1770",10668,498,77
1734405663,2024-12-17T04:21:03Z,ETD78G,"42.4650,14.2710",10668,497,77
1734405695,2024-12-17T04:21:35Z,ETD78G,"42.4813,14.3681",10668,499,77
1734405725,2024-12-17T04:22:05Z,ETD78G,"42.4964,14.4572",10668,498,77
1734405756,2024-12-17T04:22:36Z,ETD78G,"42.5120,14.5508",10668,498,77
