Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733386784,2024-12-05T08:19:44Z,RYR9MC,"35.848652,14.494557",0,0,0
1733387215,2024-12-05T08:26:55Z,RYR9MC,"35.848572,14.494357",0,5,241
1733387223,2024-12-05T08:27:03Z,RYR9MC,"35.848343,14.494257",0,7,196
1733387229,2024-12-05T08:27:09Z,RYR9MC,"35.848099,14.494327",0,9,163
1733387235,2024-12-05T08:27:15Z,RYR9MC,"35.847897,14.494514",0,11,137
1733387242,2024-12-05T08:27:22Z,RYR9MC,"35.847645,14.494829",0,12,135
1733387246,2024-12-05T08:27:26Z,RYR9MC,"35.847458,14.495043",0,13,135
1733387251,2024-12-05T08:27:31Z,RYR9MC,"35.84726,14.495306",0,11,135
1733387257,2024-12-05T08:27:37Z,RYR9MC,"35.847027,14.495544",0,11,140
1733387264,2024-12-05T08:27:44Z,RYR9MC,"35.846748,14.495715",0,10,157
1733387271,2024-12-05T08:27:51Z,RYR9MC,"35.846481,14.495803",0,8,171
1733387277,2024-12-05T08:27:57Z,RYR9MC,"35.846237,14.495702",0,10,205
1733387283,2024-12-05T08:28:03Z,RYR9MC,"35.846039,14.495481",0,9,222
1733387288,2024-12-05T08:28:08Z,RYR9MC,"35.845806,14.49535",0,11,199
1733387293,2024-12-05T08:28:13Z,RYR9MC,"35.845562,14.495394",0,12,163
1733387298,2024-12-05T08:28:18Z,RYR9MC,"35.845329,14.495598",0,12,140
1733387305,2024-12-05T08:28:25Z,RYR9MC,"35.845093,14.495845",0,9,140
1733387313,2024-12-05T08:28:33Z,RYR9MC,"35.844852,14.496051",0,8,146
1733387320,2024-12-05T08:28:40Z,RYR9MC,"35.844646,14.496188",0,6,151
1733387329,2024-12-05T08:28:49Z,RYR9MC,"35.844444,14.496299",0,4,157
1733387424,2024-12-05T08:30:24Z,RYR9MC,"35.844234,14.496387",0,4,160
1733387435,2024-12-05T08:30:35Z,RYR9MC,"35.84396,14.496489",0,7,163
1733387442,2024-12-05T08:30:42Z,RYR9MC,"35.843708,14.49656",0,6,165
1733387602,2024-12-05T08:33:22Z,RYR9MC,"35.843502,14.496632",0,0,165
1733387610,2024-12-05T08:33:30Z,RYR9MC,"35.843258,14.496723",0,9,163
1733387617,2024-12-05T08:33:37Z,RYR9MC,"35.842918,14.49684",0,12,163
1733387623,2024-12-05T08:33:43Z,RYR9MC,"35.842587,14.496975",0,13,160
1733387627,2024-12-05T08:33:47Z,RYR9MC,"35.842369,14.497061",0,11,160
1733387632,2024-12-05T08:33:52Z,RYR9MC,"35.84214,14.497059",0,9,188
1733387639,2024-12-05T08:33:59Z,RYR9MC,"35.841976,14.49684",0,6,236
1733387649,2024-12-05T08:34:09Z,RYR9MC,"35.842068,14.496635",0,4,306
1733387793,2024-12-05T08:36:33Z,RYR9MC,"35.842255,14.496416",0,18,315
1733387800,2024-12-05T08:36:40Z,RYR9MC,"35.843273,14.495144",0,55,315
1733387811,2024-12-05T08:36:51Z,RYR9MC,"35.846062,14.491727",375,102,314
1733387820,2024-12-05T08:37:00Z,RYR9MC,"35.849625,14.487305",375,137,314
1733387829,2024-12-05T08:37:09Z,RYR9MC,"35.85434,14.481354",550,156,314
1733387839,2024-12-05T08:37:19Z,RYR9MC,"35.859051,14.475539",950,157,314
1733387848,2024-12-05T08:37:28Z,RYR9MC,"35.863495,14.469395",1450,153,309
1733387851,2024-12-05T08:37:31Z,RYR9MC,"35.864822,14.467278",1600,154,307
1733387854,2024-12-05T08:37:34Z,RYR9MC,"35.866077,14.465137",1700,157,305
1733387857,2024-12-05T08:37:37Z,RYR9MC,"35.867523,14.462625",1775,164,305
1733387860,2024-12-05T08:37:40Z,RYR9MC,"35.868687,14.460637",1825,167,305
1733387863,2024-12-05T08:37:43Z,RYR9MC,"35.870174,14.458125",1875,173,306
1733387866,2024-12-05T08:37:46Z,RYR9MC,"35.871735,14.455605",1925,182,307
1733387869,2024-12-05T08:37:49Z,RYR9MC,"35.873386,14.452982",1975,186,308
1733387878,2024-12-05T08:37:58Z,RYR9MC,"35.878464,14.445362",2250,195,309
1733387888,2024-12-05T08:38:08Z,RYR9MC,"35.884003,14.437122",2625,201,309
1733387897,2024-12-05T08:38:17Z,RYR9MC,"35.88945,14.429054",3050,202,309
