Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732723955,2024-11-27T16:12:35Z,RYR2NU,"41.239334,-8.674674",0,2,33
1732723977,2024-11-27T16:12:57Z,RYR2NU,"41.239597,-8.674469",0,3,30
1732723993,2024-11-27T16:13:13Z,RYR2NU,"41.239803,-8.674301",0,3,33
1732724009,2024-11-27T16:13:29Z,RYR2NU,"41.240009,-8.674164",0,3,19
1732724024,2024-11-27T16:13:44Z,RYR2NU,"41.240227,-8.674179",0,3,357
1732724040,2024-11-27T16:14:00Z,RYR2NU,"41.24044,-8.674236",0,3,348
1732724220,2024-11-27T16:17:00Z,RYR2NU,"41.240707,-8.674314",0,6,345
1732724239,2024-11-27T16:17:19Z,RYR2NU,"41.241337,-8.674622",0,0,334
1732724270,2024-11-27T16:17:50Z,RYR2NU,"41.242489,-8.676125",0,0,309
1732724291,2024-11-27T16:18:11Z,RYR2NU,"41.243793,-8.677279",0,0,351
1732724294,2024-11-27T16:18:14Z,RYR2NU,"41.244038,-8.677326",0,17,348
1732724302,2024-11-27T16:18:22Z,RYR2NU,"41.244633,-8.677483",0,17,348
1732724314,2024-11-27T16:18:34Z,RYR2NU,"41.245644,-8.677748",0,0,348
1732724796,2024-11-27T16:26:36Z,RYR2NU,"41.242035,-8.679688",0,0,168
1732724806,2024-11-27T16:26:46Z,RYR2NU,"41.23526,-8.677856",200,160,168
1732724815,2024-11-27T16:26:55Z,RYR2NU,"41.22871,-8.676016",575,159,168
1732724824,2024-11-27T16:27:04Z,RYR2NU,"41.222054,-8.674143",975,159,167
1732724833,2024-11-27T16:27:13Z,RYR2NU,"41.215397,-8.672333",1275,163,168
1732724842,2024-11-27T16:27:22Z,RYR2NU,"41.208508,-8.67046",1525,173,168
1732724851,2024-11-27T16:27:31Z,RYR2NU,"41.20129,-8.668588",1650,188,168
1732724860,2024-11-27T16:27:40Z,RYR2NU,"41.192825,-8.666443",1825,199,169
1732724869,2024-11-27T16:27:49Z,RYR2NU,"41.184769,-8.664368",2050,207,169
1732724878,2024-11-27T16:27:58Z,RYR2NU,"41.175873,-8.662158",2475,207,168
1732724887,2024-11-27T16:28:07Z,RYR2NU,"41.167603,-8.659973",2925,205,168
1732724893,2024-11-27T16:28:13Z,RYR2NU,"41.162018,-8.658081",3225,205,163
1732724896,2024-11-27T16:28:16Z,RYR2NU,"41.159302,-8.656727",3350,207,157
1732724899,2024-11-27T16:28:19Z,RYR2NU,"41.156662,-8.654907",3425,211,150
1732724903,2024-11-27T16:28:23Z,RYR2NU,"41.154041,-8.652358",3500,217,142
1732724906,2024-11-27T16:28:26Z,RYR2NU,"41.151714,-8.649362",3575,225,132
1732724909,2024-11-27T16:28:29Z,RYR2NU,"41.149757,-8.646053",3625,231,124
1732724912,2024-11-27T16:28:32Z,RYR2NU,"41.148193,-8.642395",3675,236,119
1732724915,2024-11-27T16:28:35Z,RYR2NU,"41.146824,-8.63825",3750,244,110
1732724918,2024-11-27T16:28:38Z,RYR2NU,"41.145905,-8.63385",3800,251,103
1732724921,2024-11-27T16:28:41Z,RYR2NU,"41.145336,-8.629074",3850,258,95
1732724924,2024-11-27T16:28:44Z,RYR2NU,"41.145241,-8.624268",3900,266,89
1732724927,2024-11-27T16:28:47Z,RYR2NU,"41.145523,-8.619336",3950,269,85
1732724930,2024-11-27T16:28:50Z,RYR2NU,"41.146133,-8.614319",4025,277,79
1732724933,2024-11-27T16:28:53Z,RYR2NU,"41.146965,-8.609223",4075,280,77
1732724936,2024-11-27T16:28:56Z,RYR2NU,"41.147827,-8.604187",4150,285,76
1732724939,2024-11-27T16:28:59Z,RYR2NU,"41.148697,-8.599365",4250,288,76
1732724942,2024-11-27T16:29:02Z,RYR2NU,"41.149712,-8.59393",4375,290,76
1732724945,2024-11-27T16:29:05Z,RYR2NU,"41.150642,-8.588812",4525,291,76
1732724948,2024-11-27T16:29:08Z,RYR2NU,"41.151672,-8.583008",4675,293,76
1732724951,2024-11-27T16:29:11Z,RYR2NU,"41.152596,-8.578137",4800,294,76
1732724954,2024-11-27T16:29:14Z,RYR2NU,"41.15353,-8.572831",4950,295,76
1732724964,2024-11-27T16:29:24Z,RYR2NU,"41.156647,-8.554916",5425,300,77
1732724977,2024-11-27T16:29:37Z,RYR2NU,"41.160461,-8.531494",6000,305,78
1732724992,2024-11-27T16:29:52Z,RYR2NU,"41.164856,-8.502686",6725,309,78
1732725007,2024-11-27T16:30:07Z,RYR2NU,"41.168884,-8.475342",7500,311,79
1732725023,2024-11-27T16:30:23Z,RYR2NU,"41.173004,-8.44696",8225,315,79
1732725038,2024-11-27T16:30:38Z,RYR2NU,"41.17749,-8.416809",9025,317,78
1732725053,2024-11-27T16:30:53Z,RYR2NU,"41.181793,-8.388611",9750,319,78
1732725068,2024-11-27T16:31:08Z,RYR2NU,"41.186417,-8.358948",10475,322,78
1732725083,2024-11-27T16:31:23Z,RYR2NU,"41.190903,-8.329529",11000,330,78
1732725098,2024-11-27T16:31:38Z,RYR2NU,"41.195473,-8.299796",11625,336,78
1732725113,2024-11-27T16:31:53Z,RYR2NU,"41.200268,-8.26846",12275,339,78
1732725147,2024-11-27T16:32:27Z,RYR2NU,"41.210724,-8.198547",13700,346,78
