Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733224554,2024-12-03T11:15:54Z,IBE0271,"40.4967,-3.56859",0,2,90
1733224570,2024-12-03T11:16:10Z,IBE0271,"40.496693,-3.568802",0,2,90
1733224585,2024-12-03T11:16:25Z,IBE0271,"40.496689,-3.569012",0,3,92
1733224598,2024-12-03T11:16:38Z,IBE0271,"40.496677,-3.569215",0,2,101
1733224611,2024-12-03T11:16:51Z,IBE0271,"40.496666,-3.569449",0,3,112
1733224626,2024-12-03T11:17:06Z,IBE0271,"40.496693,-3.569687",0,3,129
1733224638,2024-12-03T11:17:18Z,IBE0271,"40.496723,-3.569901",0,3,157
1733224656,2024-12-03T11:17:36Z,IBE0271,"40.496956,-3.570053",0,4,180
1733224667,2024-12-03T11:17:47Z,IBE0271,"40.497166,-3.570057",0,5,180
1733224677,2024-12-03T11:17:57Z,IBE0271,"40.497398,-3.570057",0,5,177
1733224689,2024-12-03T11:18:09Z,IBE0271,"40.497631,-3.570068",0,4,180
1733224702,2024-12-03T11:18:22Z,IBE0271,"40.49786,-3.570084",0,3,180
1733224850,2024-12-03T11:20:50Z,IBE0271,"40.497643,-3.570104",0,6,185
1733224860,2024-12-03T11:21:00Z,IBE0271,"40.497421,-3.570369",0,8,216
1733224864,2024-12-03T11:21:04Z,IBE0271,"40.497356,-3.570587",0,8,236
1733224871,2024-12-03T11:21:11Z,IBE0271,"40.497303,-3.570869",0,8,247
1733224876,2024-12-03T11:21:16Z,IBE0271,"40.4972,-3.571087",0,8,239
1733224882,2024-12-03T11:21:22Z,IBE0271,"40.496967,-3.571243",0,9,216
1733224888,2024-12-03T11:21:28Z,IBE0271,"40.496693,-3.571259",0,10,191
1733224894,2024-12-03T11:21:34Z,IBE0271,"40.496395,-3.571243",0,12,180
1733224898,2024-12-03T11:21:38Z,IBE0271,"40.496166,-3.571243",0,13,180
1733224902,2024-12-03T11:21:42Z,IBE0271,"40.495903,-3.571228",0,14,180
1733224906,2024-12-03T11:21:46Z,IBE0271,"40.495651,-3.571228",0,15,180
1733224910,2024-12-03T11:21:50Z,IBE0271,"40.495396,-3.571228",0,15,180
1733224918,2024-12-03T11:21:58Z,IBE0271,"40.494759,-3.571213",0,16,180
1733224925,2024-12-03T11:22:05Z,IBE0271,"40.494198,-3.571212",0,15,180
1733224932,2024-12-03T11:22:12Z,IBE0271,"40.49387,-3.571212",0,8,180
1733224940,2024-12-03T11:22:20Z,IBE0271,"40.4935,-3.571212",0,12,180
1733224947,2024-12-03T11:22:27Z,IBE0271,"40.493046,-3.571212",0,14,180
