Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734671949,2024-12-20T06:19:09Z,ITY1642,"40.6721,17.9302",114,149,317
1734671964,2024-12-20T06:19:24Z,ITY1642,"40.6799,17.9207",274,149,317
1734671980,2024-12-20T06:19:40Z,ITY1642,"40.6877,17.9111",472,145,317
1734671996,2024-12-20T06:19:56Z,ITY1642,"40.6960,17.9008",602,161,317
1734672012,2024-12-20T06:20:12Z,ITY1642,"40.7043,17.8872",732,174,302
1734672038,2024-12-20T06:20:38Z,ITY1642,"40.7141,17.8623",930,205,298
1734672068,2024-12-20T06:21:08Z,ITY1642,"40.7299,17.8234",1318,244,298
1734672438,2024-12-20T06:27:18Z,ITY1642,"40.9815,17.2374",6736,374,306
1734672468,2024-12-20T06:27:48Z,ITY1642,"41.0112,17.1824",7071,378,305
1734672498,2024-12-20T06:28:18Z,ITY1642,"41.0426,17.1242",7468,384,306
1734672530,2024-12-20T06:28:50Z,ITY1642,"41.0765,17.0612",7849,387,305
1734672560,2024-12-20T06:29:20Z,ITY1642,"41.1080,17.0026",8153,387,305
1734672590,2024-12-20T06:29:50Z,ITY1642,"41.1379,16.9466",8390,395,305
1734672620,2024-12-20T06:30:20Z,ITY1642,"41.1700,16.8867",8656,402,305
1734672650,2024-12-20T06:30:50Z,ITY1642,"41.2024,16.8260",8893,409,305
1734672680,2024-12-20T06:31:20Z,ITY1642,"41.2357,16.7636",9129,413,305
1734672710,2024-12-20T06:31:50Z,ITY1642,"41.2683,16.7023",9357,418,305
1734672740,2024-12-20T06:32:20Z,ITY1642,"41.3023,16.6384",9533,427,305
1734672830,2024-12-20T06:33:50Z,ITY1642,"41.4029,16.4483",10363,406,305
1734672860,2024-12-20T06:34:20Z,ITY1642,"41.4354,16.3865",10363,407,305
1734672890,2024-12-20T06:34:50Z,ITY1642,"41.4679,16.3246",10363,411,305
1734672920,2024-12-20T06:35:20Z,ITY1642,"41.5007,16.2620",10363,412,305
1734672950,2024-12-20T06:35:50Z,ITY1642,"41.5339,16.1986",10363,412,305
1734673040,2024-12-20T06:37:20Z,ITY1642,"41.6307,16.0130",10378,412,305
