Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733467931,2024-12-06T06:52:11Z,KAL422,"13.491554,144.805344",0,1,331
1733467969,2024-12-06T06:52:49Z,KAL422,"13.49135,144.805466",0,1,340
1733468003,2024-12-06T06:53:23Z,KAL422,"13.491142,144.805511",0,1,329
1733468034,2024-12-06T06:53:54Z,KAL422,"13.490936,144.805542",0,1,289
1733468075,2024-12-06T06:54:35Z,KAL422,"13.490792,144.805756",0,1,239
1733468307,2024-12-06T06:58:27Z,KAL422,"13.490673,144.805542",0,4,241
1733468317,2024-12-06T06:58:37Z,KAL422,"13.490559,144.805328",0,5,241
1733468327,2024-12-06T06:58:47Z,KAL422,"13.490431,144.805084",0,6,241
1733468335,2024-12-06T06:58:55Z,KAL422,"13.490303,144.80484",0,7,241
1733468343,2024-12-06T06:59:03Z,KAL422,"13.490181,144.804611",0,8,241
1733468349,2024-12-06T06:59:09Z,KAL422,"13.490047,144.804398",0,9,236
1733468357,2024-12-06T06:59:17Z,KAL422,"13.489838,144.804169",0,9,227
1733468364,2024-12-06T06:59:24Z,KAL422,"13.489605,144.80397",0,9,219
1733468370,2024-12-06T06:59:30Z,KAL422,"13.489395,144.803833",0,8,216
1733468378,2024-12-06T06:59:38Z,KAL422,"13.489197,144.803604",0,9,225
1733468384,2024-12-06T06:59:44Z,KAL422,"13.489014,144.803375",0,10,230
1733468390,2024-12-06T06:59:50Z,KAL422,"13.488853,144.803131",0,11,236
1733468395,2024-12-06T06:59:55Z,KAL422,"13.488744,144.802917",0,11,239
1733468400,2024-12-06T07:00:00Z,KAL422,"13.488625,144.802658",0,12,244
1733468406,2024-12-06T07:00:06Z,KAL422,"13.488487,144.802353",0,13,244
1733468410,2024-12-06T07:00:10Z,KAL422,"13.488359,144.802078",0,13,244
1733468416,2024-12-06T07:00:16Z,KAL422,"13.488201,144.801727",0,14,244
1733468423,2024-12-06T07:00:23Z,KAL422,"13.487999,144.801285",0,15,244
1733468431,2024-12-06T07:00:31Z,KAL422,"13.487778,144.800827",0,14,244
1733468438,2024-12-06T07:00:38Z,KAL422,"13.487583,144.8004",0,14,244
1733468445,2024-12-06T07:00:45Z,KAL422,"13.487393,144.799973",0,14,244
1733468452,2024-12-06T07:00:52Z,KAL422,"13.487185,144.7995",0,14,244
1733468460,2024-12-06T07:01:00Z,KAL422,"13.486963,144.799026",0,14,244
