Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733118446,2024-12-02T05:47:26Z,KAL931,"37.482559,126.407143",975,193,322
1733118451,2024-12-02T05:47:31Z,KAL931,"37.485397,126.403374",1200,194,314
1733118454,2024-12-02T05:47:34Z,KAL931,"37.486908,126.400688",1325,194,314
1733118458,2024-12-02T05:47:38Z,KAL931,"37.488796,126.396927",1525,194,314
1733118463,2024-12-02T05:47:43Z,KAL931,"37.490982,126.392387",1750,192,301
1733118467,2024-12-02T05:47:47Z,KAL931,"37.493408,126.387596",1975,190,303
1733118470,2024-12-02T05:47:50Z,KAL931,"37.494755,126.38517",2100,190,304
1733118474,2024-12-02T05:47:54Z,KAL931,"37.496384,126.382301",2225,190,305
1733118477,2024-12-02T05:47:57Z,KAL931,"37.498032,126.379471",2325,190,306
1733118480,2024-12-02T05:48:00Z,KAL931,"37.499313,126.377251",2425,190,305
1733118483,2024-12-02T05:48:03Z,KAL931,"37.500946,126.373764",2525,190,301
1733118486,2024-12-02T05:48:06Z,KAL931,"37.502018,126.370956",2625,191,296
1733118488,2024-12-02T05:48:08Z,KAL931,"37.502884,126.367958",2700,191,292
1733118492,2024-12-02T05:48:12Z,KAL931,"37.503647,126.364212",2800,192,285
1733118495,2024-12-02T05:48:15Z,KAL931,"37.50412,126.36071",2900,194,281
1733118498,2024-12-02T05:48:18Z,KAL931,"37.504345,126.357346",2975,194,275
1733118501,2024-12-02T05:48:21Z,KAL931,"37.50444,126.354111",3075,196,272
1733118506,2024-12-02T05:48:26Z,KAL931,"37.504578,126.348152",3225,198,271
1733118510,2024-12-02T05:48:30Z,KAL931,"37.504715,126.34359",3325,200,272
1733118513,2024-12-02T05:48:33Z,KAL931,"37.504807,126.339561",3375,203,272
1733118516,2024-12-02T05:48:36Z,KAL931,"37.504951,126.335907",3425,206,272
1733118519,2024-12-02T05:48:39Z,KAL931,"37.505089,126.332146",3475,210,272
1733118522,2024-12-02T05:48:42Z,KAL931,"37.505184,126.328918",3500,210,272
1733118531,2024-12-02T05:48:51Z,KAL931,"37.505402,126.316765",3650,223,271
1733118543,2024-12-02T05:49:03Z,KAL931,"37.505554,126.301277",3925,231,270
1733118553,2024-12-02T05:49:13Z,KAL931,"37.505787,126.288017",4100,240,271
1733118562,2024-12-02T05:49:22Z,KAL931,"37.506069,126.274826",4375,246,271
1733118570,2024-12-02T05:49:30Z,KAL931,"37.506348,126.263657",4475,254,271
1733118576,2024-12-02T05:49:36Z,KAL931,"37.5065,126.253891",4600,262,271
1733118586,2024-12-02T05:49:46Z,KAL931,"37.506821,126.238403",4900,267,271
1733118595,2024-12-02T05:49:55Z,KAL931,"37.507137,126.223778",5275,270,271
1733118611,2024-12-02T05:50:11Z,KAL931,"37.507557,126.19989",5875,273,269
1733118619,2024-12-02T05:50:19Z,KAL931,"37.505905,126.185455",6200,274,258
1733118623,2024-12-02T05:50:23Z,KAL931,"37.504765,126.180428",6325,276,254
1733118625,2024-12-02T05:50:25Z,KAL931,"37.503693,126.176781",6425,276,251
1733118629,2024-12-02T05:50:29Z,KAL931,"37.502018,126.17189",6550,277,247
1733118632,2024-12-02T05:50:32Z,KAL931,"37.500275,126.167633",6650,278,243
1733118635,2024-12-02T05:50:35Z,KAL931,"37.498478,126.163765",6775,278,240
1733118638,2024-12-02T05:50:38Z,KAL931,"37.496109,126.158989",6900,279,237
1733118641,2024-12-02T05:50:41Z,KAL931,"37.493774,126.154488",7050,279,237
1733118644,2024-12-02T05:50:44Z,KAL931,"37.491577,126.150223",7200,280,236
1733118647,2024-12-02T05:50:47Z,KAL931,"37.48938,126.146011",7350,280,236
1733118650,2024-12-02T05:50:50Z,KAL931,"37.488705,126.144722",7400,280,236
1733118653,2024-12-02T05:50:53Z,KAL931,"37.484985,126.137596",7625,279,236
1733118656,2024-12-02T05:50:56Z,KAL931,"37.483536,126.134811",7725,279,236
1733118671,2024-12-02T05:51:11Z,KAL931,"37.472782,126.114449",8350,280,236
1733118688,2024-12-02T05:51:28Z,KAL931,"37.460491,126.091225",8975,283,236
1733118700,2024-12-02T05:51:40Z,KAL931,"37.451981,126.075417",9450,284,236
1733118715,2024-12-02T05:51:55Z,KAL931,"37.440353,126.053391",10050,286,236
1733118730,2024-12-02T05:52:10Z,KAL931,"37.428818,126.031647",10700,286,236
1733118747,2024-12-02T05:52:27Z,KAL931,"37.41687,126.008858",11375,287,237
1733118756,2024-12-02T05:52:36Z,KAL931,"37.411427,125.994736",11800,284,247
1733118760,2024-12-02T05:52:40Z,KAL931,"37.410172,125.990074",11925,284,250
1733118762,2024-12-02T05:52:42Z,KAL931,"37.409088,125.985077",12075,282,254
1733118765,2024-12-02T05:52:45Z,KAL931,"37.408264,125.980461",12200,283,257
1733118768,2024-12-02T05:52:48Z,KAL931,"37.407623,125.975723",12275,284,258
1733118772,2024-12-02T05:52:52Z,KAL931,"37.40712,125.970757",12325,286,261
1733118775,2024-12-02T05:52:55Z,KAL931,"37.406773,125.965294",12375,290,265
1733118778,2024-12-02T05:52:58Z,KAL931,"37.406708,125.961113",12400,293,267
1733118781,2024-12-02T05:53:01Z,KAL931,"37.406586,125.955025",12450,296,268
1733118784,2024-12-02T05:53:04Z,KAL931,"37.406525,125.949547",12500,299,269
1733118787,2024-12-02T05:53:07Z,KAL931,"37.406433,125.944633",12550,302,268
1733118790,2024-12-02T05:53:10Z,KAL931,"37.406342,125.938614",12600,305,268
1733118793,2024-12-02T05:53:13Z,KAL931,"37.406296,125.933006",12650,308,268
1733118796,2024-12-02T05:53:16Z,KAL931,"37.406204,125.927399",12700,311,269
1733118826,2024-12-02T05:53:46Z,KAL931,"37.405888,125.870483",13350,335,269
1733118859,2024-12-02T05:54:19Z,KAL931,"37.405422,125.808441",14675,339,269
1733118890,2024-12-02T05:54:50Z,KAL931,"37.404816,125.745155",15950,342,269
1733118924,2024-12-02T05:55:24Z,KAL931,"37.403778,125.676987",17275,347,268
1733118961,2024-12-02T05:56:01Z,KAL931,"37.402634,125.6026",18625,350,268
1733118990,2024-12-02T05:56:30Z,KAL931,"37.401764,125.541649",19650,354,269
1733119022,2024-12-02T05:57:02Z,KAL931,"37.40086,125.476707",20600,360,269
1733119055,2024-12-02T05:57:35Z,KAL931,"37.399788,125.40667",21625,366,268
1733119089,2024-12-02T05:58:09Z,KAL931,"37.39867,125.333763",22650,370,268
1733119119,2024-12-02T05:58:39Z,KAL931,"37.397602,125.26844",23525,373,268
1733119150,2024-12-02T05:59:10Z,KAL931,"37.396454,125.200546",24375,376,268
1733119182,2024-12-02T05:59:42Z,KAL931,"37.395321,125.133263",25150,380,268
1733119214,2024-12-02T06:00:14Z,KAL931,"37.393982,125.059479",25925,385,268
1733119245,2024-12-02T06:00:45Z,KAL931,"37.39262,124.989548",26525,391,268
1733119276,2024-12-02T06:01:16Z,KAL931,"37.391361,124.918907",27200,395,268
1733119308,2024-12-02T06:01:48Z,KAL931,"37.390011,124.84684",27600,394,268
1733119341,2024-12-02T06:02:21Z,KAL931,"37.388382,124.770355",27600,404,268
1733119372,2024-12-02T06:02:52Z,KAL931,"37.386894,124.697571",27600,413,268
1733119405,2024-12-02T06:03:25Z,KAL931,"37.385101,124.618034",27600,416,268
1733119436,2024-12-02T06:03:56Z,KAL931,"37.38345,124.543228",27600,417,268
1733119477,2024-12-02T06:04:37Z,KAL931,"37.379539,124.443748",27600,416,264
1733119485,2024-12-02T06:04:45Z,KAL931,"37.376652,124.427452",27600,416,255
1733119504,2024-12-02T06:05:04Z,KAL931,"37.362259,124.382591",27600,420,242
1733119509,2024-12-02T06:05:09Z,KAL931,"37.357285,124.371925",27600,421,240
1733119515,2024-12-02T06:05:15Z,KAL931,"37.350815,124.359024",27600,423,237
1733119520,2024-12-02T06:05:20Z,KAL931,"37.346066,124.349411",27600,423,238
1733119524,2024-12-02T06:05:24Z,KAL931,"37.341972,124.341049",27600,422,238
1733119555,2024-12-02T06:05:55Z,KAL931,"37.310074,124.276932",27600,424,237
1733119589,2024-12-02T06:06:29Z,KAL931,"37.274052,124.205574",27600,424,237
1733119621,2024-12-02T06:07:01Z,KAL931,"37.240128,124.138321",27600,424,237
1733119654,2024-12-02T06:07:34Z,KAL931,"37.206318,124.07338",27600,427,235
1733119686,2024-12-02T06:08:06Z,KAL931,"37.169727,124.00573",27600,427,236
