Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733350226,2024-12-04T22:10:26Z,ELY006,"33.945076,-118.414864",0,0,250
1733350357,2024-12-04T22:12:37Z,ELY006,"33.945087,-118.414627",0,3,250
1733350369,2024-12-04T22:12:49Z,ELY006,"33.94511,-118.414413",0,3,250
1733350383,2024-12-04T22:13:03Z,ELY006,"33.945099,-118.414192",0,3,233
1733350397,2024-12-04T22:13:17Z,ELY006,"33.94516,-118.413979",0,3,210
1733350413,2024-12-04T22:13:33Z,ELY006,"33.945316,-118.413757",0,3,194
1733350693,2024-12-04T22:18:13Z,ELY006,"33.945179,-118.413544",0,7,151
1733350700,2024-12-04T22:18:20Z,ELY006,"33.945019,-118.413307",0,8,120
1733350705,2024-12-04T22:18:25Z,ELY006,"33.944973,-118.413071",0,9,98
1733350710,2024-12-04T22:18:30Z,ELY006,"33.944889,-118.412819",0,10,98
1733350718,2024-12-04T22:18:38Z,ELY006,"33.944572,-118.412537",0,11,135
1733350723,2024-12-04T22:18:43Z,ELY006,"33.944321,-118.412476",0,10,151
1733350728,2024-12-04T22:18:48Z,ELY006,"33.944065,-118.41243",0,11,160
1733350733,2024-12-04T22:18:53Z,ELY006,"33.943821,-118.412407",0,12,160
1733350738,2024-12-04T22:18:58Z,ELY006,"33.943493,-118.412346",0,14,160
1733350742,2024-12-04T22:19:02Z,ELY006,"33.943226,-118.412315",0,14,160
1733350746,2024-12-04T22:19:06Z,ELY006,"33.942982,-118.412277",0,14,160
1733350750,2024-12-04T22:19:10Z,ELY006,"33.942741,-118.412239",0,14,160
1733350753,2024-12-04T22:19:13Z,ELY006,"33.942513,-118.412216",0,15,160
1733350760,2024-12-04T22:19:20Z,ELY006,"33.942032,-118.412132",0,15,160
1733350768,2024-12-04T22:19:28Z,ELY006,"33.941505,-118.412064",0,15,160
1733350775,2024-12-04T22:19:35Z,ELY006,"33.941048,-118.411987",0,15,160
1733350782,2024-12-04T22:19:42Z,ELY006,"33.940544,-118.411919",0,15,160
1733350791,2024-12-04T22:19:51Z,ELY006,"33.939926,-118.411819",0,12,160
1733350799,2024-12-04T22:19:59Z,ELY006,"33.939606,-118.411774",0,8,160
1733350808,2024-12-04T22:20:08Z,ELY006,"33.939365,-118.411736",0,4,160
1733350826,2024-12-04T22:20:26Z,ELY006,"33.939163,-118.411705",0,2,160
1733350837,2024-12-04T22:20:37Z,ELY006,"33.938957,-118.411674",0,6,160
1733350845,2024-12-04T22:20:45Z,ELY006,"33.938686,-118.411629",0,8,160
1733350852,2024-12-04T22:20:52Z,ELY006,"33.938374,-118.411591",0,11,160
1733350861,2024-12-04T22:21:01Z,ELY006,"33.937912,-118.411484",0,11,151
1733350867,2024-12-04T22:21:07Z,ELY006,"33.937756,-118.411217",0,10,118
1733350871,2024-12-04T22:21:11Z,ELY006,"33.937717,-118.411011",0,10,98
1733350875,2024-12-04T22:21:15Z,ELY006,"33.93771,-118.410805",0,11,84
1733350879,2024-12-04T22:21:19Z,ELY006,"33.937729,-118.41053",0,12,75
1733350883,2024-12-04T22:21:23Z,ELY006,"33.937752,-118.410263",0,13,73
1733350887,2024-12-04T22:21:27Z,ELY006,"33.937786,-118.409904",0,15,70
1733350893,2024-12-04T22:21:33Z,ELY006,"33.937843,-118.409424",0,16,70
1733350895,2024-12-04T22:21:35Z,ELY006,"33.937866,-118.409172",0,17,70
1733350899,2024-12-04T22:21:39Z,ELY006,"33.937901,-118.408836",0,17,70
1733350902,2024-12-04T22:21:42Z,ELY006,"33.937923,-118.408539",0,17,70
1733350906,2024-12-04T22:21:46Z,ELY006,"33.937965,-118.408157",0,16,70
1733350909,2024-12-04T22:21:49Z,ELY006,"33.938,-118.407883",0,16,70
1733350916,2024-12-04T22:21:56Z,ELY006,"33.938061,-118.407257",0,16,70
1733350922,2024-12-04T22:22:02Z,ELY006,"33.938118,-118.406738",0,15,70
1733350932,2024-12-04T22:22:12Z,ELY006,"33.938187,-118.405952",0,13,70
1733350942,2024-12-04T22:22:22Z,ELY006,"33.938255,-118.405281",0,11,70
1733350949,2024-12-04T22:22:29Z,ELY006,"33.938293,-118.404922",0,9,70
1733350955,2024-12-04T22:22:35Z,ELY006,"33.938324,-118.404633",0,7,70
1733350963,2024-12-04T22:22:43Z,ELY006,"33.938347,-118.404411",0,4,70
1733351017,2024-12-04T22:23:37Z,ELY006,"33.93837,-118.404167",0,4,70
1733351026,2024-12-04T22:23:46Z,ELY006,"33.938404,-118.403862",0,7,70
1733351034,2024-12-04T22:23:54Z,ELY006,"33.938431,-118.40358",0,7,70
1733351041,2024-12-04T22:24:01Z,ELY006,"33.938461,-118.403259",0,9,70
1733351048,2024-12-04T22:24:08Z,ELY006,"33.938496,-118.402893",0,9,70
1733351054,2024-12-04T22:24:14Z,ELY006,"33.93853,-118.402618",0,6,70
1733351065,2024-12-04T22:24:25Z,ELY006,"33.938553,-118.402405",0,1,70
1733351085,2024-12-04T22:24:45Z,ELY006,"33.938576,-118.402153",0,5,70
1733351093,2024-12-04T22:24:53Z,ELY006,"33.938606,-118.401848",0,8,70
1733351101,2024-12-04T22:25:01Z,ELY006,"33.938652,-118.40136",0,12,70
1733351109,2024-12-04T22:25:09Z,ELY006,"33.938713,-118.400764",0,15,70
1733351116,2024-12-04T22:25:16Z,ELY006,"33.938782,-118.400162",0,15,70
1733351124,2024-12-04T22:25:24Z,ELY006,"33.938862,-118.399391",0,16,70
1733351132,2024-12-04T22:25:32Z,ELY006,"33.938931,-118.398659",0,17,70
1733351140,2024-12-04T22:25:40Z,ELY006,"33.939003,-118.397957",0,16,70
1733351147,2024-12-04T22:25:47Z,ELY006,"33.93906,-118.397339",0,16,70
1733351156,2024-12-04T22:25:56Z,ELY006,"33.939159,-118.396492",0,16,70
1733351163,2024-12-04T22:26:03Z,ELY006,"33.939217,-118.395874",0,15,70
1733351171,2024-12-04T22:26:11Z,ELY006,"33.939281,-118.395226",0,15,70
1733351178,2024-12-04T22:26:18Z,ELY006,"33.939365,-118.394531",0,17,70
1733351187,2024-12-04T22:26:27Z,ELY006,"33.939457,-118.393578",0,21,70
1733351194,2024-12-04T22:26:34Z,ELY006,"33.939537,-118.392792",0,21,70
1733351202,2024-12-04T22:26:42Z,ELY006,"33.939644,-118.391762",0,21,70
1733351209,2024-12-04T22:26:49Z,ELY006,"33.939724,-118.39093",0,20,70
1733351218,2024-12-04T22:26:58Z,ELY006,"33.939823,-118.389992",0,19,70
1733351226,2024-12-04T22:27:06Z,ELY006,"33.939911,-118.389145",0,19,70
1733351233,2024-12-04T22:27:13Z,ELY006,"33.939983,-118.388367",0,19,70
1733351239,2024-12-04T22:27:19Z,ELY006,"33.94006,-118.387642",0,20,70
1733351247,2024-12-04T22:27:27Z,ELY006,"33.940166,-118.386681",0,20,70
1733351257,2024-12-04T22:27:37Z,ELY006,"33.940269,-118.385712",0,17,70
1733351264,2024-12-04T22:27:44Z,ELY006,"33.940331,-118.385078",0,14,70
1733351272,2024-12-04T22:27:52Z,ELY006,"33.940384,-118.384468",0,14,70
1733351280,2024-12-04T22:28:00Z,ELY006,"33.940453,-118.383896",0,13,70
1733351287,2024-12-04T22:28:07Z,ELY006,"33.940502,-118.383408",0,12,70
1733351294,2024-12-04T22:28:14Z,ELY006,"33.940552,-118.382935",0,12,70
1733351301,2024-12-04T22:28:21Z,ELY006,"33.940598,-118.382462",0,12,70
1733351309,2024-12-04T22:28:29Z,ELY006,"33.940643,-118.381935",0,12,70
1733351317,2024-12-04T22:28:37Z,ELY006,"33.940704,-118.381401",0,11,70
1733351326,2024-12-04T22:28:46Z,ELY006,"33.94075,-118.380898",0,9,70
1733351332,2024-12-04T22:28:52Z,ELY006,"33.940769,-118.380646",0,7,70
1733351340,2024-12-04T22:29:00Z,ELY006,"33.940796,-118.380432",0,3,73
1733351376,2024-12-04T22:29:36Z,ELY006,"33.940716,-118.380219",0,5,95
1733351385,2024-12-04T22:29:45Z,ELY006,"33.940491,-118.380043",0,8,132
1733351390,2024-12-04T22:29:50Z,ELY006,"33.940281,-118.380005",0,9,149
1733351395,2024-12-04T22:29:55Z,ELY006,"33.940071,-118.37999",0,8,163
1733351403,2024-12-04T22:30:03Z,ELY006,"33.939857,-118.380219",0,7,210
1733351411,2024-12-04T22:30:11Z,ELY006,"33.939838,-118.380478",0,6,241
1733351428,2024-12-04T22:30:28Z,ELY006,"33.939823,-118.380684",0,0,250
1733351538,2024-12-04T22:32:18Z,ELY006,"33.939793,-118.380905",0,9,250
1733351545,2024-12-04T22:32:25Z,ELY006,"33.939674,-118.382057",0,42,250
