Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734039836,2024-12-12T22:43:56Z,MSR985,"30.7899,30.6860",6927,401,317
1734039871,2024-12-12T22:44:31Z,MSR985,"30.8382,30.6357",7231,407,319
1734039904,2024-12-12T22:45:04Z,MSR985,"30.8857,30.5881",7551,409,319
1734039951,2024-12-12T22:45:51Z,MSR985,"30.9540,30.5199",7917,415,319
1734039985,2024-12-12T22:46:25Z,MSR985,"31.0019,30.4716",8222,415,319
1734040019,2024-12-12T22:46:59Z,MSR985,"31.0528,30.4199",8489,417,319
1734040050,2024-12-12T22:47:30Z,MSR985,"31.0966,30.3752",8733,419,319
1734040080,2024-12-12T22:48:00Z,MSR985,"31.1406,30.3302",8969,420,319
1734040110,2024-12-12T22:48:30Z,MSR985,"31.1837,30.2861",9136,418,319
1734040150,2024-12-12T22:49:10Z,MSR985,"31.2411,30.2274",9144,416,319
1734040199,2024-12-12T22:49:59Z,MSR985,"31.3134,30.1530",9144,416,319
1734040231,2024-12-12T22:50:31Z,MSR985,"31.3600,30.1052",9144,416,319
1734040261,2024-12-12T22:51:01Z,MSR985,"31.4034,30.0605",9144,417,319
1734040304,2024-12-12T22:51:44Z,MSR985,"31.4656,29.9963",9144,417,319
1734040336,2024-12-12T22:52:16Z,MSR985,"31.5117,29.9487",9144,419,319
1734040380,2024-12-12T22:53:00Z,MSR985,"31.5748,29.8836",9144,419,318
1734040415,2024-12-12T22:53:35Z,MSR985,"31.6254,29.8311",9144,419,318
1734040468,2024-12-12T22:54:28Z,MSR985,"31.7031,29.7505",9144,418,318
1734040503,2024-12-12T22:55:03Z,MSR985,"31.7541,29.6973",9144,418,318
1734040535,2024-12-12T22:55:35Z,MSR985,"31.8000,29.6495",9144,417,318
1734040578,2024-12-12T22:56:18Z,MSR985,"31.8620,29.5849",9144,418,318
1734040609,2024-12-12T22:56:49Z,MSR985,"31.9062,29.5385",9144,419,318
1734040639,2024-12-12T22:57:19Z,MSR985,"31.9500,29.4928",9144,419,318
1734040693,2024-12-12T22:58:13Z,MSR985,"32.0344,29.4175",9144,423,323
1734040762,2024-12-12T22:59:22Z,MSR985,"32.1537,29.3413",9144,426,332
1734040847,2024-12-12T23:00:47Z,MSR985,"32.3025,29.2463",9144,427,331
1734040891,2024-12-12T23:01:31Z,MSR985,"32.3788,29.1971",9144,428,331
1734040961,2024-12-12T23:02:41Z,MSR985,"32.4992,29.1196",9144,425,331
1734040991,2024-12-12T23:03:11Z,MSR985,"32.5526,29.0851",9144,425,331
1734041034,2024-12-12T23:03:54Z,MSR985,"32.6255,29.0380",9144,424,331
1734041076,2024-12-12T23:04:36Z,MSR985,"32.6976,28.9914",9144,423,331
1734041109,2024-12-12T23:05:09Z,MSR985,"32.7547,28.9544",9144,422,331
1734041139,2024-12-12T23:05:39Z,MSR985,"32.8074,28.9201",9144,423,331
1734041172,2024-12-12T23:06:12Z,MSR985,"32.8631,28.8839",9144,425,331
1734041202,2024-12-12T23:06:42Z,MSR985,"32.9155,28.8498",9144,424,331
1734041262,2024-12-12T23:07:42Z,MSR985,"33.0188,28.7824",9144,423,331
1734041322,2024-12-12T23:08:42Z,MSR985,"33.1213,28.7154",9144,425,331
1734041383,2024-12-12T23:09:43Z,MSR985,"33.2264,28.6464",9144,424,331
1734041443,2024-12-12T23:10:43Z,MSR985,"33.3296,28.5784",9144,424,331
1734041473,2024-12-12T23:11:13Z,MSR985,"33.3809,28.5447",9144,424,331
1734041503,2024-12-12T23:11:43Z,MSR985,"33.4328,28.5104",9144,424,331
1734041533,2024-12-12T23:12:13Z,MSR985,"33.4849,28.4759",9144,425,331
1734041567,2024-12-12T23:12:47Z,MSR985,"33.5443,28.4366",9144,429,331
1734041599,2024-12-12T23:13:19Z,MSR985,"33.5999,28.3998",9144,429,331
