Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734145517,2024-12-14T04:05:17Z,PGT1228,"41.8011,12.2387",69,160,250
1734145533,2024-12-14T04:05:33Z,PGT1228,"41.7971,12.2236",282,159,250
1734145549,2024-12-14T04:05:49Z,PGT1228,"41.7932,12.2110",495,155,236
1734145565,2024-12-14T04:06:05Z,PGT1228,"41.7848,12.1999",732,153,222
1734145581,2024-12-14T04:06:21Z,PGT1228,"41.7762,12.1903",960,156,219
1734145597,2024-12-14T04:06:37Z,PGT1228,"41.7668,12.1800",1105,174,219
1734145615,2024-12-14T04:06:55Z,PGT1228,"41.7527,12.1683",1318,196,200
1734145639,2024-12-14T04:07:19Z,PGT1228,"41.7304,12.1719",1615,222,165
1734145666,2024-12-14T04:07:46Z,PGT1228,"41.7023,12.1751",1935,245,181
1734145684,2024-12-14T04:08:04Z,PGT1228,"41.6818,12.1786",2111,272,159
1734145700,2024-12-14T04:08:20Z,PGT1228,"41.6615,12.1939",2416,282,144
1734145716,2024-12-14T04:08:36Z,PGT1228,"41.6480,12.2129",2667,293,122
1734145733,2024-12-14T04:08:53Z,PGT1228,"41.6412,12.2440",2964,302,93
1734145763,2024-12-14T04:09:23Z,PGT1228,"41.6422,12.3021",3330,328,89
1734145793,2024-12-14T04:09:53Z,PGT1228,"41.6426,12.3625",3543,363,90
1734145913,2024-12-14T04:11:53Z,PGT1228,"41.6433,12.6518",5144,411,90
1734145943,2024-12-14T04:12:23Z,PGT1228,"41.6432,12.7284",5517,420,92
1734145973,2024-12-14T04:12:53Z,PGT1228,"41.6366,12.8070",5875,427,97
1734146003,2024-12-14T04:13:23Z,PGT1228,"41.6292,12.8845",6210,438,97
1734146033,2024-12-14T04:13:53Z,PGT1228,"41.6215,12.9659",6576,442,97
1734146063,2024-12-14T04:14:23Z,PGT1228,"41.6136,13.0483",6919,449,97
1734146096,2024-12-14T04:14:56Z,PGT1228,"41.6045,13.1426",7269,456,97
1734146126,2024-12-14T04:15:26Z,PGT1228,"41.5966,13.2241",7551,463,97
1734146156,2024-12-14T04:15:56Z,PGT1228,"41.5880,13.3117",7849,468,97
1734146186,2024-12-14T04:16:26Z,PGT1228,"41.5799,13.3946",8108,473,97
1734146216,2024-12-14T04:16:56Z,PGT1228,"41.5709,13.4858",8283,483,98
1734146246,2024-12-14T04:17:26Z,PGT1228,"41.5623,13.5716",8458,492,98
1734146276,2024-12-14T04:17:56Z,PGT1228,"41.5534,13.6598",8694,494,98
1734146306,2024-12-14T04:18:26Z,PGT1228,"41.5440,13.7533",8809,506,98
1734146336,2024-12-14T04:18:56Z,PGT1228,"41.5345,13.8474",8992,510,98
1734146366,2024-12-14T04:19:26Z,PGT1228,"41.5248,13.9410",9190,512,98
1734146396,2024-12-14T04:19:56Z,PGT1228,"41.5154,14.0320",9456,509,98
1734146426,2024-12-14T04:20:26Z,PGT1228,"41.5054,14.1276",9647,511,98
1734146456,2024-12-14T04:20:56Z,PGT1228,"41.4958,14.2183",10043,494,98
1734146486,2024-12-14T04:21:26Z,PGT1228,"41.4863,14.3077",10401,481,98
1734146516,2024-12-14T04:21:56Z,PGT1228,"41.4765,14.3974",10561,482,98
1734146546,2024-12-14T04:22:26Z,PGT1228,"41.4671,14.4852",10683,485,98
1734146576,2024-12-14T04:22:56Z,PGT1228,"41.4579,14.5712",10805,487,98
1734146606,2024-12-14T04:23:26Z,PGT1228,"41.4477,14.6637",10859,494,99
1734146637,2024-12-14T04:23:57Z,PGT1228,"41.4372,14.7569",10927,501,98
1734146667,2024-12-14T04:24:27Z,PGT1228,"41.4275,14.8469",11019,505,98
1734146698,2024-12-14T04:24:58Z,PGT1228,"41.4167,14.9434",11072,512,98
1734146728,2024-12-14T04:25:28Z,PGT1228,"41.4059,15.0404",11095,519,99
1734146758,2024-12-14T04:25:58Z,PGT1228,"41.3951,15.1342",11247,517,99
1734146915,2024-12-14T04:28:35Z,PGT1228,"41.3381,15.6233",11285,515,99
1734146945,2024-12-14T04:29:05Z,PGT1228,"41.3262,15.7163",11293,516,100
1734146975,2024-12-14T04:29:35Z,PGT1228,"41.3131,15.8104",11293,515,101
1734147005,2024-12-14T04:30:05Z,PGT1228,"41.3001,15.9028",11293,514,100
1734147035,2024-12-14T04:30:35Z,PGT1228,"41.2871,15.9970",11285,512,101
1734147065,2024-12-14T04:31:05Z,PGT1228,"41.2742,16.0880",11278,509,100
1734147095,2024-12-14T04:31:35Z,PGT1228,"41.2614,16.1801",11262,512,101
1734147125,2024-12-14T04:32:05Z,PGT1228,"41.2484,16.2723",11262,513,101
1734147156,2024-12-14T04:32:36Z,PGT1228,"41.2343,16.3702",11278,511,101
1734147186,2024-12-14T04:33:06Z,PGT1228,"41.2215,16.4598",11278,512,101
1734147217,2024-12-14T04:33:37Z,PGT1228,"41.2079,16.5548",11278,511,101
1734147247,2024-12-14T04:34:07Z,PGT1228,"41.1942,16.6475",11278,513,101
1734147277,2024-12-14T04:34:37Z,PGT1228,"41.1805,16.7430",11278,513,101
1734147308,2024-12-14T04:35:08Z,PGT1228,"41.1668,16.8365",11285,512,101
1734147371,2024-12-14T04:36:11Z,PGT1228,"41.1379,17.0327",11278,508,101
1734147401,2024-12-14T04:36:41Z,PGT1228,"41.1242,17.1239",11278,506,101
1734147431,2024-12-14T04:37:11Z,PGT1228,"41.1105,17.2150",11278,506,101
1734147461,2024-12-14T04:37:41Z,PGT1228,"41.0971,17.3040",11262,507,101
1734147479,2024-12-14T04:37:59Z,PGT1228,"41.0928,17.3581",11262,512,92
1734147557,2024-12-14T04:39:17Z,PGT1228,"41.1220,17.5972",11278,512,79
1734147593,2024-12-14T04:39:53Z,PGT1228,"41.1385,17.7098",11278,516,79
1734147627,2024-12-14T04:40:27Z,PGT1228,"41.1541,17.8166",11278,508,79
1734147688,2024-12-14T04:41:28Z,PGT1228,"41.1818,18.0019",11278,514,79
1734147718,2024-12-14T04:41:58Z,PGT1228,"41.1953,18.0936",11278,517,79
1734147748,2024-12-14T04:42:28Z,PGT1228,"41.2088,18.1868",11278,520,79
1734147777,2024-12-14T04:42:57Z,PGT1228,"41.2191,18.2751",11278,519,86
1734147795,2024-12-14T04:43:15Z,PGT1228,"41.2195,18.3337",11278,517,97
1734147836,2024-12-14T04:43:56Z,PGT1228,"41.2018,18.4608",11278,515,101
1734147866,2024-12-14T04:44:26Z,PGT1228,"41.1872,18.5580",11278,515,101
1734147893,2024-12-14T04:44:53Z,PGT1228,"41.1739,18.6427",11278,514,104
1734147986,2024-12-14T04:46:26Z,PGT1228,"41.0958,18.9180",11278,512,111
1734148016,2024-12-14T04:46:56Z,PGT1228,"41.0716,19.0026",11285,505,111
1734148046,2024-12-14T04:47:26Z,PGT1228,"41.0465,19.0899",11285,511,111
1734148109,2024-12-14T04:48:29Z,PGT1228,"40.9915,19.2753",11278,516,111
1734148139,2024-12-14T04:48:59Z,PGT1228,"40.9656,19.3638",11278,518,111
1734148199,2024-12-14T04:49:59Z,PGT1228,"40.9138,19.5393",11278,511,111
1734148229,2024-12-14T04:50:29Z,PGT1228,"40.8889,19.6228",11278,512,112
1734148259,2024-12-14T04:50:59Z,PGT1228,"40.8633,19.7080",11278,517,112
1734148320,2024-12-14T04:52:00Z,PGT1228,"40.8083,19.8908",11278,520,112
1734148351,2024-12-14T04:52:31Z,PGT1228,"40.7818,19.9784",11278,520,112
1734148381,2024-12-14T04:53:01Z,PGT1228,"40.7548,20.0677",11278,520,112
1734148413,2024-12-14T04:53:33Z,PGT1228,"40.7261,20.1621",11278,519,112
1734148443,2024-12-14T04:54:03Z,PGT1228,"40.6993,20.2506",11278,516,112
1734148473,2024-12-14T04:54:33Z,PGT1228,"40.6728,20.3377",11278,516,112
1734148504,2024-12-14T04:55:04Z,PGT1228,"40.6456,20.4259",11278,515,112
1734148537,2024-12-14T04:55:37Z,PGT1228,"40.6158,20.5225",11278,514,112
1734148567,2024-12-14T04:56:07Z,PGT1228,"40.5894,20.6083",11278,517,112
1734148597,2024-12-14T04:56:37Z,PGT1228,"40.5619,20.6967",11278,516,112
1734148627,2024-12-14T04:57:07Z,PGT1228,"40.5354,20.7842",11278,518,110
1734148652,2024-12-14T04:57:32Z,PGT1228,"40.5169,20.8619",11278,520,105
1734148672,2024-12-14T04:57:52Z,PGT1228,"40.5067,20.9208",11278,525,99
1734148695,2024-12-14T04:58:15Z,PGT1228,"40.5041,20.9921",11278,526,87
1734148734,2024-12-14T04:58:54Z,PGT1228,"40.5214,21.1166",11278,519,80
1734148765,2024-12-14T04:59:25Z,PGT1228,"40.5340,21.2104",11278,519,80
1734148825,2024-12-14T05:00:25Z,PGT1228,"40.5592,21.3965",11278,523,80
1734148855,2024-12-14T05:00:55Z,PGT1228,"40.5724,21.4911",11278,522,80
1734148915,2024-12-14T05:01:55Z,PGT1228,"40.5976,21.6780",11278,517,80
1734148945,2024-12-14T05:02:25Z,PGT1228,"40.6093,21.7649",11278,518,80
1734149006,2024-12-14T05:03:26Z,PGT1228,"40.6352,21.9597",11278,516,80
1734149036,2024-12-14T05:03:56Z,PGT1228,"40.6473,22.0508",11278,518,80
1734149066,2024-12-14T05:04:26Z,PGT1228,"40.6591,22.1407",11278,516,80
1734149096,2024-12-14T05:04:56Z,PGT1228,"40.6713,22.2348",11278,515,81
1734149157,2024-12-14T05:05:57Z,PGT1228,"40.6954,22.4231",11278,510,81
1734149187,2024-12-14T05:06:27Z,PGT1228,"40.7068,22.5131",11278,511,81
1734149217,2024-12-14T05:06:57Z,PGT1228,"40.7184,22.6047",11278,513,81
1734149247,2024-12-14T05:07:27Z,PGT1228,"40.7303,22.6980",11278,513,81
1734149307,2024-12-14T05:08:27Z,PGT1228,"40.7532,22.8820",11278,513,81
1734149337,2024-12-14T05:08:57Z,PGT1228,"40.7644,22.9719",11278,514,81
1734149367,2024-12-14T05:09:27Z,PGT1228,"40.7758,23.0666",11278,512,81
1734149397,2024-12-14T05:09:57Z,PGT1228,"40.7870,23.1587",11278,511,81
1734149427,2024-12-14T05:10:27Z,PGT1228,"40.7981,23.2512",11278,518,81
1734149458,2024-12-14T05:10:58Z,PGT1228,"40.8096,23.3458",11278,513,81
1734149488,2024-12-14T05:11:28Z,PGT1228,"40.8208,23.4402",11278,507,81
1734149518,2024-12-14T05:11:58Z,PGT1228,"40.8317,23.5320",11278,506,81
1734149548,2024-12-14T05:12:28Z,PGT1228,"40.8424,23.6232",11278,508,81
1734149578,2024-12-14T05:12:58Z,PGT1228,"40.8532,23.7148",11278,510,81
1734149608,2024-12-14T05:13:28Z,PGT1228,"40.8639,23.8080",11278,512,81
1734149638,2024-12-14T05:13:58Z,PGT1228,"40.8743,23.8988",11278,511,81
1734149669,2024-12-14T05:14:29Z,PGT1228,"40.8850,23.9921",11278,513,82
1734149699,2024-12-14T05:14:59Z,PGT1228,"40.8957,24.0865",11278,511,82
1734149729,2024-12-14T05:15:29Z,PGT1228,"40.9060,24.1792",11278,510,82
1734149789,2024-12-14T05:16:29Z,PGT1228,"40.9265,24.3625",11278,506,82
1734149819,2024-12-14T05:16:59Z,PGT1228,"40.9365,24.4541",11278,506,82
1734149850,2024-12-14T05:17:30Z,PGT1228,"40.9471,24.5509",11278,507,82
1734149883,2024-12-14T05:18:03Z,PGT1228,"40.9579,24.6505",11278,507,82
1734149913,2024-12-14T05:18:33Z,PGT1228,"40.9678,24.7433",11278,505,82
1734149944,2024-12-14T05:19:04Z,PGT1228,"40.9778,24.8363",11278,508,82
1734149974,2024-12-14T05:19:34Z,PGT1228,"40.9875,24.9267",11278,504,82
1734150004,2024-12-14T05:20:04Z,PGT1228,"40.9971,25.0196",11278,503,82
1734150034,2024-12-14T05:20:34Z,PGT1228,"41.0068,25.1135",11278,503,82
1734150064,2024-12-14T05:21:04Z,PGT1228,"41.0159,25.2017",11278,503,82
1734150094,2024-12-14T05:21:34Z,PGT1228,"41.0252,25.2928",11278,503,82
1734150124,2024-12-14T05:22:04Z,PGT1228,"41.0346,25.3855",11278,505,82
1734150154,2024-12-14T05:22:34Z,PGT1228,"41.0441,25.4780",11278,508,82
1734150184,2024-12-14T05:23:04Z,PGT1228,"41.0534,25.5714",11278,511,83
1734150214,2024-12-14T05:23:34Z,PGT1228,"41.0623,25.6627",11278,504,83
1734150244,2024-12-14T05:24:04Z,PGT1228,"41.0712,25.7526",11278,503,83
1734150275,2024-12-14T05:24:35Z,PGT1228,"41.0804,25.8456",11278,503,83
1734150305,2024-12-14T05:25:05Z,PGT1228,"41.0894,25.9387",11278,505,83
1734150335,2024-12-14T05:25:35Z,PGT1228,"41.0983,26.0336",11262,505,83
1734150366,2024-12-14T05:26:06Z,PGT1228,"41.1076,26.1310",11125,502,83
1734150397,2024-12-14T05:26:37Z,PGT1228,"41.1159,26.2178",10988,499,83
1734150414,2024-12-14T05:26:54Z,PGT1228,"41.1206,26.2728",10904,503,86
1734150437,2024-12-14T05:27:17Z,PGT1228,"41.1162,26.3449",10782,509,102
1734150478,2024-12-14T05:27:58Z,PGT1228,"41.0816,26.4584",10599,506,113
1734150508,2024-12-14T05:28:28Z,PGT1228,"41.0543,26.5455",10447,502,112
1734150533,2024-12-14T05:28:53Z,PGT1228,"41.0366,26.6189",10325,504,100
1734150576,2024-12-14T05:29:36Z,PGT1228,"41.0374,26.7460",10142,496,87
1734150606,2024-12-14T05:30:06Z,PGT1228,"41.0396,26.8397",9997,492,89
1734150636,2024-12-14T05:30:36Z,PGT1228,"41.0407,26.9316",9845,496,89
1734150666,2024-12-14T05:31:06Z,PGT1228,"41.0409,27.0213",9693,495,90
1734150696,2024-12-14T05:31:36Z,PGT1228,"41.0408,27.1126",9540,490,90
1734150726,2024-12-14T05:32:06Z,PGT1228,"41.0409,27.2021",9365,482,90
1734150756,2024-12-14T05:32:36Z,PGT1228,"41.0410,27.2856",9060,474,90
1734150786,2024-12-14T05:33:06Z,PGT1228,"41.0410,27.3756",8740,464,90
1734150816,2024-12-14T05:33:36Z,PGT1228,"41.0411,27.4617",8390,455,90
1734150833,2024-12-14T05:33:53Z,PGT1228,"41.0431,27.5096",8222,449,83
1734150854,2024-12-14T05:34:14Z,PGT1228,"41.0531,27.5600",8009,439,73
1734150884,2024-12-14T05:34:44Z,PGT1228,"41.0705,27.6381",7704,435,74
