Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734491472,2024-12-18T04:11:12Z,SEH2FI,"37.8835,23.9957",2616,285,226
1734491751,2024-12-18T04:15:51Z,SEH2FI,"37.8714,23.5072",7155,391,287
1734491841,2024-12-18T04:17:21Z,SEH2FI,"37.9200,23.3036",8291,415,287
1734491871,2024-12-18T04:17:51Z,SEH2FI,"37.9366,23.2336",8588,423,287
1734491901,2024-12-18T04:18:21Z,SEH2FI,"37.9536,23.1613",8862,431,287
1734491931,2024-12-18T04:18:51Z,SEH2FI,"37.9706,23.0891",9121,438,287
1734491961,2024-12-18T04:19:21Z,SEH2FI,"37.9884,23.0135",9281,452,287
1734491979,2024-12-18T04:19:39Z,SEH2FI,"38.0004,22.9663",9510,446,290
1734492002,2024-12-18T04:20:02Z,SEH2FI,"38.0213,22.9110",9799,438,300
1734492043,2024-12-18T04:20:43Z,SEH2FI,"38.0670,22.8317",10173,432,307
1734492073,2024-12-18T04:21:13Z,SEH2FI,"38.1034,22.7711",10455,430,307
1734492103,2024-12-18T04:21:43Z,SEH2FI,"38.1401,22.7100",10691,430,307
1734492133,2024-12-18T04:22:13Z,SEH2FI,"38.1764,22.6492",10889,433,307
1734492163,2024-12-18T04:22:43Z,SEH2FI,"38.2130,22.5882",10973,442,307
1734492193,2024-12-18T04:23:13Z,SEH2FI,"38.2499,22.5264",10973,443,307
1734492224,2024-12-18T04:23:44Z,SEH2FI,"38.2878,22.4629",10973,441,307
1734492254,2024-12-18T04:24:14Z,SEH2FI,"38.3258,22.3991",10973,441,307
1734492284,2024-12-18T04:24:44Z,SEH2FI,"38.3616,22.3389",10973,438,307
1734492315,2024-12-18T04:25:15Z,SEH2FI,"38.3997,22.2746",10965,438,307
1734492345,2024-12-18T04:25:45Z,SEH2FI,"38.4363,22.2129",10965,437,307
1734492375,2024-12-18T04:26:15Z,SEH2FI,"38.4722,22.1521",10958,438,307
1734492405,2024-12-18T04:26:45Z,SEH2FI,"38.5088,22.0902",10958,439,307
1734492435,2024-12-18T04:27:15Z,SEH2FI,"38.5453,22.0281",10965,439,307
1734492465,2024-12-18T04:27:45Z,SEH2FI,"38.5829,21.9642",10980,440,307
1734492495,2024-12-18T04:28:15Z,SEH2FI,"38.6189,21.9027",10980,441,307
1734492525,2024-12-18T04:28:45Z,SEH2FI,"38.6566,21.8382",10988,440,307
1734492555,2024-12-18T04:29:15Z,SEH2FI,"38.6915,21.7785",10988,439,307
1734492585,2024-12-18T04:29:45Z,SEH2FI,"38.7290,21.7144",10980,438,307
1734492615,2024-12-18T04:30:15Z,SEH2FI,"38.7658,21.6513",10980,438,307
1734492645,2024-12-18T04:30:45Z,SEH2FI,"38.8024,21.5882",10973,438,307
1734492705,2024-12-18T04:31:45Z,SEH2FI,"38.8748,21.4633",10973,439,307
1734492736,2024-12-18T04:32:16Z,SEH2FI,"38.9100,21.4022",10973,439,307
1734492798,2024-12-18T04:33:18Z,SEH2FI,"38.9853,21.2714",10973,438,306
1734492828,2024-12-18T04:33:48Z,SEH2FI,"39.0215,21.2084",10973,439,306
1734492858,2024-12-18T04:34:18Z,SEH2FI,"39.0577,21.1450",10973,439,306
1734492919,2024-12-18T04:35:19Z,SEH2FI,"39.1295,21.0196",10973,439,306
1734492949,2024-12-18T04:35:49Z,SEH2FI,"39.1654,20.9567",10973,439,306
1734492979,2024-12-18T04:36:19Z,SEH2FI,"39.2023,20.8917",10973,439,306
1734493009,2024-12-18T04:36:49Z,SEH2FI,"39.2383,20.8283",10973,440,306
1734493039,2024-12-18T04:37:19Z,SEH2FI,"39.2742,20.7646",10965,442,306
1734493069,2024-12-18T04:37:49Z,SEH2FI,"39.3106,20.7004",10965,443,306
1734493099,2024-12-18T04:38:19Z,SEH2FI,"39.3466,20.6364",10965,445,306
1734493129,2024-12-18T04:38:49Z,SEH2FI,"39.3841,20.5697",10973,446,306
1734493159,2024-12-18T04:39:19Z,SEH2FI,"39.4189,20.5078",10988,446,306
1734493189,2024-12-18T04:39:49Z,SEH2FI,"39.4550,20.4436",10988,444,306
1734493219,2024-12-18T04:40:19Z,SEH2FI,"39.4911,20.3790",10988,443,306
1734493249,2024-12-18T04:40:49Z,SEH2FI,"39.5272,20.3144",10980,442,306
1734493279,2024-12-18T04:41:19Z,SEH2FI,"39.5627,20.2506",10973,441,306
1734493309,2024-12-18T04:41:49Z,SEH2FI,"39.5992,20.1849",10973,440,306
1734493339,2024-12-18T04:42:19Z,SEH2FI,"39.6339,20.1225",10965,441,306
1734493369,2024-12-18T04:42:49Z,SEH2FI,"39.6696,20.0578",10965,441,306
1734493399,2024-12-18T04:43:19Z,SEH2FI,"39.7053,19.9932",10965,442,306
1734493429,2024-12-18T04:43:49Z,SEH2FI,"39.7417,19.9274",10965,443,306
1734493460,2024-12-18T04:44:20Z,SEH2FI,"39.7773,19.8626",10973,444,305
1734493491,2024-12-18T04:44:51Z,SEH2FI,"39.8145,19.7949",10973,444,306
1734493521,2024-12-18T04:45:21Z,SEH2FI,"39.8503,19.7295",10973,444,305
1734493551,2024-12-18T04:45:51Z,SEH2FI,"39.8860,19.6642",10980,444,305
1734493611,2024-12-18T04:46:51Z,SEH2FI,"39.9571,19.5339",10980,441,305
1734493641,2024-12-18T04:47:21Z,SEH2FI,"39.9923,19.4692",10980,440,305
1734493671,2024-12-18T04:47:51Z,SEH2FI,"40.0277,19.4040",10973,438,305
1734493701,2024-12-18T04:48:21Z,SEH2FI,"40.0622,19.3402",10973,436,305
1734493731,2024-12-18T04:48:51Z,SEH2FI,"40.0972,19.2754",10973,435,305
1734493761,2024-12-18T04:49:21Z,SEH2FI,"40.1315,19.2117",10965,435,305
1734493783,2024-12-18T04:49:43Z,SEH2FI,"40.1536,19.1632",10965,438,297
1734493863,2024-12-18T04:51:03Z,SEH2FI,"40.2078,18.9598",10965,443,288
1734493893,2024-12-18T04:51:33Z,SEH2FI,"40.2264,18.8833",10965,445,288
1734493926,2024-12-18T04:52:06Z,SEH2FI,"40.2471,18.7980",10965,446,288
1734493956,2024-12-18T04:52:36Z,SEH2FI,"40.2655,18.7217",10973,446,288
1734493986,2024-12-18T04:53:06Z,SEH2FI,"40.2838,18.6456",10980,445,287
1734494016,2024-12-18T04:53:36Z,SEH2FI,"40.3024,18.5681",10980,445,287
1734494047,2024-12-18T04:54:07Z,SEH2FI,"40.3213,18.4893",10973,446,287
1734494077,2024-12-18T04:54:37Z,SEH2FI,"40.3397,18.4123",10973,447,287
1734494107,2024-12-18T04:55:07Z,SEH2FI,"40.3582,18.3346",10973,448,287
1734494137,2024-12-18T04:55:37Z,SEH2FI,"40.3770,18.2552",10973,450,287
1734494168,2024-12-18T04:56:08Z,SEH2FI,"40.3960,18.1746",10973,451,287
1734494198,2024-12-18T04:56:38Z,SEH2FI,"40.4142,18.0972",10973,451,287
1734494228,2024-12-18T04:57:08Z,SEH2FI,"40.4323,18.0201",10973,452,287
1734494318,2024-12-18T04:58:38Z,SEH2FI,"40.4871,17.7847",10980,453,287
1734494348,2024-12-18T04:59:08Z,SEH2FI,"40.5054,17.7055",10980,452,287
1734494378,2024-12-18T04:59:38Z,SEH2FI,"40.5237,17.6258",10980,451,287
1734494408,2024-12-18T05:00:08Z,SEH2FI,"40.5420,17.5463",10980,449,287
1734494438,2024-12-18T05:00:38Z,SEH2FI,"40.5597,17.4688",10973,449,287
1734494468,2024-12-18T05:01:08Z,SEH2FI,"40.5774,17.3914",10973,448,287
1734494498,2024-12-18T05:01:38Z,SEH2FI,"40.5949,17.3145",10965,447,287
1734494528,2024-12-18T05:02:08Z,SEH2FI,"40.6127,17.2358",10965,446,286
1734494559,2024-12-18T05:02:39Z,SEH2FI,"40.6310,17.1549",10965,446,287
1734494590,2024-12-18T05:03:10Z,SEH2FI,"40.6490,17.0748",10965,446,286
1734494620,2024-12-18T05:03:40Z,SEH2FI,"40.6664,16.9967",10973,446,286
1734494650,2024-12-18T05:04:10Z,SEH2FI,"40.6843,16.9168",10973,447,286
1734494680,2024-12-18T05:04:40Z,SEH2FI,"40.7013,16.8402",10973,447,286
1734494712,2024-12-18T05:05:12Z,SEH2FI,"40.7201,16.7551",10973,447,286
1734494742,2024-12-18T05:05:42Z,SEH2FI,"40.7369,16.6791",10980,446,286
1734494772,2024-12-18T05:06:12Z,SEH2FI,"40.7543,16.6003",10980,446,286
1734494803,2024-12-18T05:06:43Z,SEH2FI,"40.7720,16.5197",10973,445,286
1734494833,2024-12-18T05:07:13Z,SEH2FI,"40.7887,16.4428",10973,445,286
1734494863,2024-12-18T05:07:43Z,SEH2FI,"40.8057,16.3649",10973,444,286
1734494893,2024-12-18T05:08:13Z,SEH2FI,"40.8228,16.2860",10973,444,286
1734494923,2024-12-18T05:08:43Z,SEH2FI,"40.8396,16.2081",10973,443,286
1734494953,2024-12-18T05:09:13Z,SEH2FI,"40.8568,16.1284",10973,443,286
1734494984,2024-12-18T05:09:44Z,SEH2FI,"40.8734,16.0506",10973,442,286
1734495015,2024-12-18T05:10:15Z,SEH2FI,"40.8911,15.9679",10973,441,286
1734495137,2024-12-18T05:12:17Z,SEH2FI,"40.9579,15.6523",10973,443,286
1734495167,2024-12-18T05:12:47Z,SEH2FI,"40.9744,15.5734",10973,443,285
1734495197,2024-12-18T05:13:17Z,SEH2FI,"40.9905,15.4965",10973,443,285
1734495227,2024-12-18T05:13:47Z,SEH2FI,"41.0067,15.4187",10973,443,285
1734495288,2024-12-18T05:14:48Z,SEH2FI,"41.0397,15.2591",10973,442,285
1734495318,2024-12-18T05:15:18Z,SEH2FI,"41.0552,15.1838",10973,443,285
1734495348,2024-12-18T05:15:48Z,SEH2FI,"41.0730,15.1045",10973,440,287
1734495408,2024-12-18T05:16:48Z,SEH2FI,"41.1074,14.9513",10973,440,287
1734495438,2024-12-18T05:17:18Z,SEH2FI,"41.1252,14.8715",10973,439,286
1734495468,2024-12-18T05:17:48Z,SEH2FI,"41.1421,14.7953",10965,440,286
1734495498,2024-12-18T05:18:18Z,SEH2FI,"41.1597,14.7161",10965,440,286
1734495528,2024-12-18T05:18:48Z,SEH2FI,"41.1765,14.6401",10881,440,286
1734495559,2024-12-18T05:19:19Z,SEH2FI,"41.1938,14.5618",10737,435,286
1734495589,2024-12-18T05:19:49Z,SEH2FI,"41.2110,14.4828",10584,435,286
1734495619,2024-12-18T05:20:19Z,SEH2FI,"41.2274,14.4081",10447,437,286
1734495649,2024-12-18T05:20:49Z,SEH2FI,"41.2443,14.3304",10302,436,286
1734495679,2024-12-18T05:21:19Z,SEH2FI,"41.2612,14.2526",10150,437,286
1734495709,2024-12-18T05:21:49Z,SEH2FI,"41.2777,14.1760",10005,421,286
1734495739,2024-12-18T05:22:19Z,SEH2FI,"41.2929,14.1056",9860,403,286
1734495770,2024-12-18T05:22:50Z,SEH2FI,"41.3086,14.0326",9723,397,286
1734495800,2024-12-18T05:23:20Z,SEH2FI,"41.3239,13.9614",9571,402,286
1734496134,2024-12-18T05:28:54Z,SEH2FI,"41.4841,13.1980",5067,350,285
1734496164,2024-12-18T05:29:24Z,SEH2FI,"41.4961,13.1389",4877,307,285
1734496194,2024-12-18T05:29:54Z,SEH2FI,"41.5073,13.0847",4496,296,285
1734496224,2024-12-18T05:30:24Z,SEH2FI,"41.5183,13.0318",4153,282,285
1734496254,2024-12-18T05:30:54Z,SEH2FI,"41.5278,12.9855",3924,262,285
1734496284,2024-12-18T05:31:24Z,SEH2FI,"41.5373,12.9388",3650,257,285
1734496301,2024-12-18T05:31:41Z,SEH2FI,"41.5434,12.9116",3498,258,289
1734496332,2024-12-18T05:32:12Z,SEH2FI,"41.5557,12.8675",3315,250,290
1734496362,2024-12-18T05:32:42Z,SEH2FI,"41.5674,12.8255",3086,247,290
1734496387,2024-12-18T05:33:07Z,SEH2FI,"41.5778,12.7882",2926,246,293
1734496405,2024-12-18T05:33:25Z,SEH2FI,"41.5900,12.7673",2835,249,322
1734496428,2024-12-18T05:33:48Z,SEH2FI,"41.6145,12.7538",2789,253,338
1734496444,2024-12-18T05:34:04Z,SEH2FI,"41.6294,12.7386",2736,247,311
1734496461,2024-12-18T05:34:21Z,SEH2FI,"41.6362,12.7153",2682,247,278
1734496477,2024-12-18T05:34:37Z,SEH2FI,"41.6325,12.6909",2568,249,245
1734496503,2024-12-18T05:35:03Z,SEH2FI,"41.6129,12.6637",2507,240,223
1734496533,2024-12-18T05:35:33Z,SEH2FI,"41.5891,12.6338",2438,236,223
1734496549,2024-12-18T05:35:49Z,SEH2FI,"41.5766,12.6182",2400,236,223
1734496579,2024-12-18T05:36:19Z,SEH2FI,"41.5521,12.5877",2324,234,223
1734496609,2024-12-18T05:36:49Z,SEH2FI,"41.5297,12.5600",2225,221,223
1734496626,2024-12-18T05:37:06Z,SEH2FI,"41.5170,12.5434",2111,220,228
1734496651,2024-12-18T05:37:31Z,SEH2FI,"41.5075,12.5136",1989,211,253
1734496681,2024-12-18T05:38:01Z,SEH2FI,"41.4985,12.4747",1768,215,253
1734496697,2024-12-18T05:38:17Z,SEH2FI,"41.4939,12.4548",1699,210,253
1734496717,2024-12-18T05:38:37Z,SEH2FI,"41.4909,12.4285",1684,210,277
1734496737,2024-12-18T05:38:57Z,SEH2FI,"41.5006,12.4073",1577,217,318
1734496754,2024-12-18T05:39:14Z,SEH2FI,"41.5158,12.3994",1494,219,344
1734496784,2024-12-18T05:39:44Z,SEH2FI,"41.5444,12.3878",1394,201,342
1734496814,2024-12-18T05:40:14Z,SEH2FI,"41.5692,12.3773",1303,178,342
1734496844,2024-12-18T05:40:44Z,SEH2FI,"41.5914,12.3681",1166,161,343
1734496874,2024-12-18T05:41:14Z,SEH2FI,"41.6129,12.3591",983,164,343
1734496904,2024-12-18T05:41:44Z,SEH2FI,"41.6339,12.3503",815,165,343
1734496934,2024-12-18T05:42:14Z,SEH2FI,"41.6553,12.3413",716,153,343
1734496964,2024-12-18T05:42:44Z,SEH2FI,"41.6747,12.3332",632,147,342
1734496994,2024-12-18T05:43:14Z,SEH2FI,"41.6943,12.3250",594,152,343
1734497010,2024-12-18T05:43:30Z,SEH2FI,"41.7060,12.3200",533,152,343
1734497040,2024-12-18T05:44:00Z,SEH2FI,"41.7253,12.3120",411,154,343
1734497068,2024-12-18T05:44:28Z,SEH2FI,"41.7444,12.3041",297,153,343
1734497084,2024-12-18T05:44:44Z,SEH2FI,"41.7550,12.2996",229,140,343
1734497101,2024-12-18T05:45:01Z,SEH2FI,"41.7649,12.2955",160,125,343
1734497117,2024-12-18T05:45:17Z,SEH2FI,"41.7734,12.2919",114,120,343
1734497133,2024-12-18T05:45:33Z,SEH2FI,"41.7815,12.2886",69,118,343
1734497149,2024-12-18T05:45:49Z,SEH2FI,"41.7899,12.2851",15,119,342
