Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732722915,2024-11-27T15:55:15Z,THY1SQ,"41.266373,28.734491",0,0,70
1732723998,2024-11-27T16:13:18Z,THY1SQ,"41.266308,28.734268",0,3,70
1732724010,2024-11-27T16:13:30Z,THY1SQ,"41.266243,28.734039",0,3,75
1732724024,2024-11-27T16:13:44Z,THY1SQ,"41.266197,28.733835",0,2,90
1732724038,2024-11-27T16:13:58Z,THY1SQ,"41.266186,28.733633",0,2,118
1732724056,2024-11-27T16:14:16Z,THY1SQ,"41.266239,28.733429",0,2,160
1732724075,2024-11-27T16:14:35Z,THY1SQ,"41.266445,28.733353",0,3,180
1732724311,2024-11-27T16:18:31Z,THY1SQ,"41.266228,28.733368",0,5,185
1732724324,2024-11-27T16:18:44Z,THY1SQ,"41.266033,28.733166",0,4,222
1732724333,2024-11-27T16:18:53Z,THY1SQ,"41.265942,28.732956",0,5,241
1732724337,2024-11-27T16:18:57Z,THY1SQ,"41.265919,28.732742",0,8,258
1732724341,2024-11-27T16:19:01Z,THY1SQ,"41.265903,28.73251",0,10,264
1732724345,2024-11-27T16:19:05Z,THY1SQ,"41.265896,28.732254",0,10,270
1732724349,2024-11-27T16:19:09Z,THY1SQ,"41.265896,28.732025",0,9,270
1732724354,2024-11-27T16:19:14Z,THY1SQ,"41.265892,28.731775",0,8,270
1732724359,2024-11-27T16:19:19Z,THY1SQ,"41.265884,28.731567",0,7,270
1732724366,2024-11-27T16:19:26Z,THY1SQ,"41.265884,28.731293",0,6,270
1732724373,2024-11-27T16:19:33Z,THY1SQ,"41.265881,28.731073",0,4,270
1732724383,2024-11-27T16:19:43Z,THY1SQ,"41.265881,28.730871",0,3,270
1732724395,2024-11-27T16:19:55Z,THY1SQ,"41.265881,28.730652",0,4,270
1732724401,2024-11-27T16:20:01Z,THY1SQ,"41.265873,28.730423",0,6,270
1732724410,2024-11-27T16:20:10Z,THY1SQ,"41.265873,28.730164",0,5,270
1732724422,2024-11-27T16:20:22Z,THY1SQ,"41.265873,28.72995",0,1,270
1732724760,2024-11-27T16:26:00Z,THY1SQ,"41.265873,28.729736",0,4,270
1732724768,2024-11-27T16:26:08Z,THY1SQ,"41.265862,28.729462",0,6,270
1732724774,2024-11-27T16:26:14Z,THY1SQ,"41.265862,28.729172",0,8,270
1732724781,2024-11-27T16:26:21Z,THY1SQ,"41.26585,28.728729",0,11,270
1732724788,2024-11-27T16:26:28Z,THY1SQ,"41.265846,28.728218",0,13,270
1732724795,2024-11-27T16:26:35Z,THY1SQ,"41.26585,28.727585",0,14,270
1732724803,2024-11-27T16:26:43Z,THY1SQ,"41.265835,28.726767",0,17,270
1732724811,2024-11-27T16:26:51Z,THY1SQ,"41.265823,28.725986",0,14,270
1732724819,2024-11-27T16:26:59Z,THY1SQ,"41.265827,28.725464",0,11,272
1732724823,2024-11-27T16:27:03Z,THY1SQ,"41.26585,28.72525",0,8,284
1732724831,2024-11-27T16:27:11Z,THY1SQ,"41.266079,28.725159",0,7,343
1732724838,2024-11-27T16:27:18Z,THY1SQ,"41.266357,28.725176",0,9,357
