Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733227077,2024-12-03T11:57:57Z,THY1,"41.260632,28.736256",0,0,106
1733228043,2024-12-03T12:14:03Z,THY1,"41.260864,28.736301",0,0,106
1733228115,2024-12-03T12:15:15Z,THY1,"41.26062,28.736256",0,1,106
1733228324,2024-12-03T12:18:44Z,THY1,"41.260666,28.736053",0,2,104
1733228338,2024-12-03T12:18:58Z,THY1,"41.260715,28.735849",0,2,104
1733228355,2024-12-03T12:19:15Z,THY1,"41.260769,28.735626",0,2,98
1733228374,2024-12-03T12:19:34Z,THY1,"41.260838,28.735382",0,2,81
1733228390,2024-12-03T12:19:50Z,THY1,"41.260864,28.735163",0,2,59
1733228406,2024-12-03T12:20:06Z,THY1,"41.260838,28.73494",0,2,30
1733228431,2024-12-03T12:20:31Z,THY1,"41.260632,28.734756",0,2,14
1733228956,2024-12-03T12:29:16Z,THY1,"41.26086,28.734894",0,6,16
1733228964,2024-12-03T12:29:24Z,THY1,"41.261074,28.734976",0,6,16
1733228971,2024-12-03T12:29:31Z,THY1,"41.261284,28.735062",0,6,16
1733228980,2024-12-03T12:29:40Z,THY1,"41.261528,28.735132",0,7,14
1733228986,2024-12-03T12:29:46Z,THY1,"41.261738,28.735163",0,7,5
1733228994,2024-12-03T12:29:54Z,THY1,"41.261993,28.735069",0,7,348
1733229001,2024-12-03T12:30:01Z,THY1,"41.262085,28.734848",0,6,317
1733229009,2024-12-03T12:30:09Z,THY1,"41.262085,28.734604",0,4,289
1733229018,2024-12-03T12:30:18Z,THY1,"41.262089,28.734398",0,3,281
1733229028,2024-12-03T12:30:28Z,THY1,"41.2621,28.734196",0,3,275
1733229038,2024-12-03T12:30:38Z,THY1,"41.262096,28.733978",0,4,272
1733229047,2024-12-03T12:30:47Z,THY1,"41.262096,28.733704",0,5,270
1733229054,2024-12-03T12:30:54Z,THY1,"41.262096,28.733475",0,5,270
1733229061,2024-12-03T12:31:01Z,THY1,"41.262096,28.733261",0,6,270
1733229069,2024-12-03T12:31:09Z,THY1,"41.262096,28.732971",0,6,270
1733229076,2024-12-03T12:31:16Z,THY1,"41.262085,28.732666",0,7,270
1733229085,2024-12-03T12:31:25Z,THY1,"41.262085,28.732285",0,7,270
1733229093,2024-12-03T12:31:33Z,THY1,"41.262077,28.731916",0,8,270
1733229101,2024-12-03T12:31:41Z,THY1,"41.262051,28.731506",0,8,264
1733229107,2024-12-03T12:31:47Z,THY1,"41.261913,28.731262",0,8,241
1733229114,2024-12-03T12:31:54Z,THY1,"41.261703,28.731215",0,7,205
1733229122,2024-12-03T12:32:02Z,THY1,"41.26149,28.731232",0,5,185
1733229132,2024-12-03T12:32:12Z,THY1,"41.261261,28.731232",0,5,182
1733229141,2024-12-03T12:32:21Z,THY1,"41.260994,28.73123",0,7,180
1733229147,2024-12-03T12:32:27Z,THY1,"41.260773,28.73123",0,9,180
1733229152,2024-12-03T12:32:32Z,THY1,"41.260551,28.731245",0,10,180
1733229157,2024-12-03T12:32:37Z,THY1,"41.26033,28.731245",0,11,180
1733229164,2024-12-03T12:32:44Z,THY1,"41.259888,28.731245",0,13,180
1733229173,2024-12-03T12:32:53Z,THY1,"41.259377,28.73126",0,14,180
