Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732727210,2024-11-27T17:06:50Z,WZZ2412,"40.620678,14.920323",0,0,140
1732727303,2024-11-27T17:08:23Z,WZZ2412,"40.620884,14.920135",0,1,123
1732727347,2024-11-27T17:09:07Z,WZZ2412,"40.621017,14.919933",0,1,90
1732727388,2024-11-27T17:09:48Z,WZZ2412,"40.621052,14.91973",0,1,50
1732727604,2024-11-27T17:13:24Z,WZZ2412,"40.621216,14.919995",0,6,50
1732727612,2024-11-27T17:13:32Z,WZZ2412,"40.621342,14.920214",0,6,50
1732727619,2024-11-27T17:13:39Z,WZZ2412,"40.621479,14.920425",0,7,53
1732727626,2024-11-27T17:13:46Z,WZZ2412,"40.621616,14.920685",0,8,53
1732727633,2024-11-27T17:13:53Z,WZZ2412,"40.621784,14.920947",0,8,47
1732727639,2024-11-27T17:13:59Z,WZZ2412,"40.622028,14.920963",0,9,8
1732727647,2024-11-27T17:14:07Z,WZZ2412,"40.622334,14.920713",0,11,329
1732727651,2024-11-27T17:14:11Z,WZZ2412,"40.622471,14.92051",0,9,315
1732727656,2024-11-27T17:14:16Z,WZZ2412,"40.622482,14.920292",0,8,286
1732727661,2024-11-27T17:14:21Z,WZZ2412,"40.622406,14.92009",0,9,255
1732727667,2024-11-27T17:14:27Z,WZZ2412,"40.622269,14.919846",0,9,239
1732727676,2024-11-27T17:14:36Z,WZZ2412,"40.622078,14.919496",0,7,236
1732727681,2024-11-27T17:14:41Z,WZZ2412,"40.622112,14.91923",0,9,270
1732727689,2024-11-27T17:14:49Z,WZZ2412,"40.622372,14.918915",0,10,315
1732727697,2024-11-27T17:14:57Z,WZZ2412,"40.622738,14.918549",0,12,323
1732727703,2024-11-27T17:15:03Z,WZZ2412,"40.62299,14.918289",0,10,323
1732727714,2024-11-27T17:15:14Z,WZZ2412,"40.62323,14.917998",0,0,312
1732727721,2024-11-27T17:15:21Z,WZZ2412,"40.623169,14.917795",0,6,270
1732727752,2024-11-27T17:15:52Z,WZZ2412,"40.622986,14.917592",0,7,233
1732727760,2024-11-27T17:16:00Z,WZZ2412,"40.622326,14.916443",0,51,233
1732727768,2024-11-27T17:16:08Z,WZZ2412,"40.620529,14.913406",0,96,230
1732727777,2024-11-27T17:16:17Z,WZZ2412,"40.617851,14.908822",0,134,232
1732727786,2024-11-27T17:16:26Z,WZZ2412,"40.613846,14.901917",0,158,232
1732727793,2024-11-27T17:16:33Z,WZZ2412,"40.610504,14.896301",225,158,231
1732727802,2024-11-27T17:16:42Z,WZZ2412,"40.606339,14.889343",675,160,230
1732727811,2024-11-27T17:16:51Z,WZZ2412,"40.601852,14.882629",1125,161,228
1732727814,2024-11-27T17:16:54Z,WZZ2412,"40.600342,14.880493",1250,165,226
1732727817,2024-11-27T17:16:57Z,WZZ2412,"40.598831,14.878418",1375,168,226
1732727820,2024-11-27T17:17:00Z,WZZ2412,"40.596954,14.875854",1500,171,226
1732727823,2024-11-27T17:17:03Z,WZZ2412,"40.595272,14.873615",1600,174,225
1732727826,2024-11-27T17:17:06Z,WZZ2412,"40.593613,14.871399",1700,178,225
1732727830,2024-11-27T17:17:10Z,WZZ2412,"40.59169,14.868774",1800,182,225
1732727839,2024-11-27T17:17:19Z,WZZ2412,"40.586151,14.861381",2100,193,225
1732727848,2024-11-27T17:17:28Z,WZZ2412,"40.580143,14.853016",2375,208,226
1732727854,2024-11-27T17:17:34Z,WZZ2412,"40.576218,14.847473",2575,215,227
1732727863,2024-11-27T17:17:43Z,WZZ2412,"40.569855,14.838284",3050,222,228
1732727869,2024-11-27T17:17:49Z,WZZ2412,"40.565598,14.83197",3425,223,228
1732727878,2024-11-27T17:17:58Z,WZZ2412,"40.559464,14.82251",3975,226,229
1732727888,2024-11-27T17:18:08Z,WZZ2412,"40.553467,14.813049",4550,228,230
