Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733333799,2024-12-04T17:36:39Z,AEZ47LG,"39.252811,9.057377",0,9,137
1733333806,2024-12-04T17:36:46Z,AEZ47LG,"39.25259,9.057632",0,10,137
1733333814,2024-12-04T17:36:54Z,AEZ47LG,"39.252274,9.057989",0,12,137
1733333821,2024-12-04T17:37:01Z,AEZ47LG,"39.251938,9.05838",0,14,137
1733333828,2024-12-04T17:37:08Z,AEZ47LG,"39.251591,9.058792",0,15,137
1733333835,2024-12-04T17:37:15Z,AEZ47LG,"39.251244,9.059228",0,15,132
1733333838,2024-12-04T17:37:18Z,AEZ47LG,"39.251102,9.059433",0,15,129
1733333842,2024-12-04T17:37:22Z,AEZ47LG,"39.250912,9.05972",0,15,132
1733333845,2024-12-04T17:37:25Z,AEZ47LG,"39.250751,9.059952",0,15,132
1733333849,2024-12-04T17:37:29Z,AEZ47LG,"39.250599,9.060165",0,15,132
1733333852,2024-12-04T17:37:32Z,AEZ47LG,"39.250416,9.06044",0,15,132
1733333856,2024-12-04T17:37:36Z,AEZ47LG,"39.250252,9.060654",0,15,132
1733333863,2024-12-04T17:37:43Z,AEZ47LG,"39.249901,9.061127",0,15,135
1733333867,2024-12-04T17:37:47Z,AEZ47LG,"39.24968,9.061386",0,15,137
1733333871,2024-12-04T17:37:51Z,AEZ47LG,"39.24947,9.061631",0,15,137
1733333875,2024-12-04T17:37:55Z,AEZ47LG,"39.249229,9.06187",0,15,140
1733333880,2024-12-04T17:38:00Z,AEZ47LG,"39.248966,9.062123",0,15,143
1733333885,2024-12-04T17:38:05Z,AEZ47LG,"39.24868,9.062378",0,14,143
1733333890,2024-12-04T17:38:10Z,AEZ47LG,"39.248402,9.062622",0,14,146
1733333895,2024-12-04T17:38:15Z,AEZ47LG,"39.248119,9.062855",0,15,146
1733333899,2024-12-04T17:38:19Z,AEZ47LG,"39.247879,9.063049",0,15,146
1733333903,2024-12-04T17:38:23Z,AEZ47LG,"39.24765,9.063243",0,15,146
1733333907,2024-12-04T17:38:27Z,AEZ47LG,"39.247444,9.063407",0,15,146
1733333914,2024-12-04T17:38:34Z,AEZ47LG,"39.246941,9.06381",0,17,146
1733333920,2024-12-04T17:38:40Z,AEZ47LG,"39.24654,9.064138",0,18,146
1733333930,2024-12-04T17:38:50Z,AEZ47LG,"39.245785,9.064751",0,19,146
1733333936,2024-12-04T17:38:56Z,AEZ47LG,"39.245327,9.065125",0,19,146
1733333943,2024-12-04T17:39:03Z,AEZ47LG,"39.244781,9.065567",0,19,146
1733333946,2024-12-04T17:39:06Z,AEZ47LG,"39.244549,9.06575",0,18,151
1733333949,2024-12-04T17:39:09Z,AEZ47LG,"39.244316,9.065857",0,17,160
1733333952,2024-12-04T17:39:12Z,AEZ47LG,"39.244095,9.065903",0,16,171
1733333955,2024-12-04T17:39:15Z,AEZ47LG,"39.243885,9.065887",0,15,188
1733333959,2024-12-04T17:39:19Z,AEZ47LG,"39.243668,9.06581",0,15,196
1733333961,2024-12-04T17:39:21Z,AEZ47LG,"39.243462,9.065721",0,16,196
1733333965,2024-12-04T17:39:25Z,AEZ47LG,"39.243176,9.065598",0,16,196
1733333969,2024-12-04T17:39:29Z,AEZ47LG,"39.24292,9.065491",0,16,196
1733333973,2024-12-04T17:39:33Z,AEZ47LG,"39.242661,9.065377",0,14,202
1733333979,2024-12-04T17:39:39Z,AEZ47LG,"39.242432,9.06517",0,8,222
1733333985,2024-12-04T17:39:45Z,AEZ47LG,"39.242409,9.064957",0,6,261
1733333994,2024-12-04T17:39:54Z,AEZ47LG,"39.242546,9.064721",0,6,309
1733334000,2024-12-04T17:40:00Z,AEZ47LG,"39.24271,9.064514",0,10,315
